"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"C1165","RALN","ND","CA","0","0","0","0","0","0","0,42","0"
"C1177","PRBZ","ND","CA","1","0,54","0","0","0","0","0","0"
"C1181","RALN","ND","CA","0","0","0","0","0","0","9","4"
"C1182","RALN","ND","CA","0","0","0","0","0","0","0,25","0"
"C1189","RALN","ND","CA","0","1,33","0","0","0","0","0","0"
"C1190","RALN","ND","CA","0","0","0","0","0","0","0,51","0"
"C1192","RALN","ND","CA","0","0","0","0","0","0","5,25","0"
"C1202","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1213","RALN","ND","CA","0","0","0","0","0","0","0","5"
"C1216","RALN","ND","CA","2,22","0","0","0","0","0","0","0"
"C1228","RALN","ND","CA","0","7","0","0","0","0","0","0"
"C1249","RALN","ND","CA","0","1,34","0","0","0","0","0,56","6,66"
"C1257","RALN","ND","CA","0","0","0","0","0","0","0,05","0"
"C1260","RALN","ND","CA","0","0","0","0","0","0","2,16","1,33"
"C1264","RALN","ND","CA","0","0","0","0","0","0","0","0,97"
"C1270","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C1271","RALN","ND","CA","0","0","0","0","0","0","2","4"
"C1278","RALN","ND","CA","0","0","0","0","0","0","13","3"
"C1279","RALN","ND","CA","0","0","0","0","3","0","0","0"
"C1280","RALN","ND","CA","0","0","0","0","0","0","0,76","0,14"
"C1282","RALN","ND","CA","4","4","0","0","0","0","0","0"
"C1290","RALN","ND","CA","0","0","0","0","0","0","0,7","0"
"C1291","PRTN","ND","CA","0","0,37","0","0","0","0","0","0"
"C1305","PRTN","ND","CA","0,5","0","0","0","0","0","0","0"
"C1308","PRTN","ND","CA","0","0","0","0","0","0","1","0"
"C1314","RALN","ND","CA","0,36","0","0","0","0","0","0","0"
"C1315","RALN","ND","CA","0","0","0","0","0","0","23","0"
"C1319","PRTN","ND","CA","0","0,46","0","0","0","0","0","0"
"C1323","RALN","ND","CA","0","0","0","0","0","0","2","8"
"C1324","RALN","ND","CA","0,54","0,68","0","0","0","0","9,09","2,02"
"C1325","RALN","ND","CA","4,66","2","0","0","0","0","0","0"
"C1327","RALN","ND","CA","1,11","2,22","0","0","0","0","13","0"
"C1330","RALN","ND","CA","0","0","0","0,75","0","0","0","1"
"C1336","RALN","ND","CA","0","0","0","0","0","0","0","3"
"C1337","RALN","ND","CA","0","0","0","0","0","0","4","2"
"C1341","RALN","ND","CA","0","0","0","0","0","0","4","1,33"
"C1346","RALN","ND","CA","0","0","0","0","0","0","8","3"
"C1351","RALN","ND","CA","2,72","1,36","0","0","0","0","0","0"
"C1366","RALN","ND","CA","0","0","0","0","0","0","1,5","0"
"C1368","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1373","RALN","ND","CA","9","4","0","0","0","0","1","1"
"C1384","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C1389","RALN","ND","CA","0,11","0","0","0","0","0","5,24","0"
"C1409","PRBZ","ND","CA","0","0,5","0","0","0","0","0","0"
"C1445","PRBZ","ND","CA","0","0,25","0","0","0","0","0,54","0"
"C1401","RALN","ND","CA","2,67","0","0","0","0","0","1,11","0"
"C1415","RALN","ND","CA","1,36","0","0","0","0","0","0","0"
"C1417","RALN","ND","CA","6,83","6","0","0","0","0","0","0"
"C1434","RALN","ND","CA","4,66","13,33","0","0","0","0","0","0"
"C1439","RALN","ND","CA","0","0","0","0","0","0","0,84","0,42"
"C1453","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1461","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1471","RALN","ND","CA","2,1","6,13","0","0","0","0","0","0"
"C1474","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1483","RALN","ND","CA","0","0","0","0","0","0","0","2"
"C1488","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1490","RALN","ND","CA","0","0,25","0","0","0","0","0","0"
"C1494","RALN","ND","CA","0","0","0","0","0","0","0","0,25"
"C1503","RALN","ND","CA","0","0","0","0","0","0","3","1"
"C1507","RALN","ND","CA","0,16","3","0","0","0","0","0","0"
"C1517","RALN","ND","CA","0,14","0","0","0","0","0","0","0"
"C1518","RALN","ND","CA","2,03","0","0","0","0","0","0","0"
"C1523","RALN","ND","CA","6,33","4","0","0","0","0","0,91","5,2"
"C1529","RALN","ND","CA","1","0","0","0","0","0","3","0"
"C1530","RALN","ND","CA","0,26","0","0","0","0","0","0","0"
"C1533","RALN","ND","CA","0","0","0","0","0","0","0,56","0,34"
"C1536","RALN","ND","CA","0","0","0","0","0","0","1,24","1,11"
"C1549","RALN","ND","CA","0,25","1,25","0","0","0","0","6","2,5"
"C1551","PRTN","ND","CA","0","0,48","0","0","0","0","0","0"
"C1567","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1593","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C1597","RALN","ND","CA","0","0","0","0","0","0","4","1"
"C1598","RALN","ND","CA","0","0","0","0","0","0","0,83","0"
"C1599","RALN","ND","CA","0","0","0","0","0","0","1,5","0"
"C1614","RALN","ND","CA","0","0","0","0","0","0","11,33","31,13"
"C1615","RALN","ND","CA","0,56","1,11","0","0","0","0","0,89","0,57"
"C1618","PRTN","ND","CA","1,67","0","0","0","0","0","0","0"
"C1629","RALN","ND","CA","0","0","0","0","0","0","4","1"
"C1635","RALN","ND","CA","0","0","0","0","0","0","0","1,12"
"C1638","RALN","ND","CA","0","0","0","0","0","0","0,67","0"
"C1645","RALN","ND","CA","0","0","0","0","0","0","1,79","1,82"
"C1652","RALN","ND","CA","0","0","0","0","0","0","0,46","0,29"
"C1654","RALN","ND","CA","0","0","0","0","0","0","0,75","0"
"C1653","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1659","RALN","ND","CA","0","0","0","0","0","0","0,56","0,45"
"C1666","RALN","ND","CA","0","0","0","0","0","0","1,91","1"
"C1667","RALN","ND","CA","0","0","0","0","0","0","1","0"
