"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"D10099","RALN","DI","0D0165","CD","0D6A00","V","1"
"D8317","RALN","DI","0D0165","CD","0D6A00","V","1"
"N8741","RALN","DI","0D0165","CD","0D6A00","V","1"
"RA69","RALN","DI","0D0165","CD","0D6A00","V","1"
"P9041","RALN","DI","0D0165","CD","0D6A00","V","4"
"P9058","RALN","DI","0D0165","CD","0D6A00","V","1"
"P9065","RALN","DI","0D0165","CD","0D6A00","V","1"
"P9071","RALN","DI","0D0165","CD","0D6A00","V","1"
"P9078","RALN","DI","0D0165","CD","0D6A00","V","2"
"P9081","RALN","DI","0D0165","CD","0D6A00","V","2"
"P9093","RALN","DI","0D0165","CD","0D6A00","V","3"
"P9116","RALN","DI","0D0165","CD","0D6A00","V","1"
"UC10745","RALN","DI","0D0165","CD","0D6A00","V","1"
"C7516","RALN","DI","0D0165","CD","0D6000","V","1"
"R9192","RALN","DI","0D0165","CD","0D6000","V","1"
"V9719","RALN","DI","0D0165","CD","0D6000","V","1"
"V10793","RALN","DI","0D0165","CD","0D6000","V","1"
"C322","RALN","DI","0D0165","CD","052486","V","1"
"C910","RALN","DI","0D0165","CD","052486","V","1"
"C1348","RALN","DI","0D0165","CD","052486","V","1"
"C1647","RALN","DI","0D0165","CD","052486","V","1"
"C2014","RALN","DI","0D0165","CD","052486","V","1"
"C2282","RALN","DI","0D0165","CD","052486","V","1"
"C492","RALN","DI","0D0165","CD","052486","V","1"
"C3737","RALN","DI","0D0165","CD","052486","V","1"
"C4208","RALN","DI","0D0165","CD","052486","V","1"
"C4788","RALN","DI","0D0165","CD","052486","V","1"
"C5337","RALN","DI","0D0165","CD","052486","V","1"
"C5715","RALN","DI","0D0165","CD","052486","V","1"
"C6236","RALN","DI","0D0165","CD","052486","V","1"
"C6482","RALN","DI","0D0165","CD","052486","V","1"
"C6825","RALN","DI","0D0165","CD","052486","V","1"
"C6915","RALN","DI","0D0165","CD","052486","V","2"
"P9041","RALN","DI","0D0165","CD","052486","V","1"
"P9050","RALN","DI","0D0165","CD","052486","V","1"
"P9076","RALN","DI","0D0165","CD","052486","V","1"
"P9103","RALN","DI","0D0165","CD","052486","V","2"
"IP10120","RALN","DI","0D0165","CD","052486","V","1"
"C1465","RALN","DI","0D0165","CD","052487","V","1"
"C5263","RALN","DI","0D0165","CD","052487","V","1"
"C5337","RALN","DI","0D0165","CD","052487","V","1"
"C806","RALN","DI","0D0165","CD","051488","V","1"
"C1041","RALN","DI","0D0165","CD","051488","V","1"
"C2232","RALN","DI","0D0165","CD","051488","V","1"
"C2378","RALN","DI","0D0165","CD","051488","V","2"
"C2511","RALN","DI","0D0165","CD","051488","V","1"
"C2565","RALN","DI","0D0165","CD","051488","V","1"
"C3076","RALN","DI","0D0165","CD","051488","V","2"
"C5337","RALN","DI","0D0165","CD","051488","V","2"
"C5386","RALN","DI","0D0165","CD","051488","V","1"
"C5732","RALN","DI","0D0165","CD","051488","V","1"
"C6004","RALN","DI","0D0165","CD","051488","V","1"
"C670","RALN","DI","0D0165","CD","051488","V","2"
"C7902","RALN","DI","0D0165","CD","051488","V","1"
"R9194","RALN","DI","0D0165","CD","051488","V","1"
"R9209","RALN","DI","0D0165","CD","051488","V","1"
"P9051","RALN","DI","0D0165","CD","051488","V","1"
"P9070","RALN","DI","0D0165","CD","051488","V","1"
"UC10638","RALN","DI","0D0165","CD","051488","V","1"
"IP10120","RALN","DI","0D0165","CD","051488","V","1"
"C3488","RALN","DI","0D0165","CD","051489","V","1"
"C7063","RALN","DI","0D0165","CD","051489","V","1"
"C8134","RALN","DI","0D0165","CD","051489","V","1"
"R9190","RALN","DI","0D0165","CD","051489","V","1"
"P9066","RALN","DI","0D0165","CD","051489","V","2"
"P9116","RALN","DI","0D0165","CD","051489","V","1"
"C826","RALN","DI","0D0165","CD","058000","V","1"
"C910","RALN","DI","0D0165","CD","058000","V","1"
"C2565","RALN","DI","0D0165","CD","058000","V","1"
"C2608","RALN","DI","0D0165","CD","058000","V","3"
"C3042","RALN","DI","0D0165","CD","058000","V","3"
"C492","RALN","DI","0D0165","CD","058000","V","2"
"C4888","RALN","DI","0D0165","CD","058000","V","1"
"C5263","RALN","DI","0D0165","CD","058000","V","1"
"C5386","RALN","DI","0D0165","CD","058000","V","1"
"C5945","RALN","DI","0D0165","CD","058000","V","1"
"C670","RALN","DI","0D0165","CD","058000","V","1"
"C7327","RALN","DI","0D0165","CD","058000","V","1"
"C7388","RALN","DI","0D0165","CD","058000","V","1"
"IP12287","RALN","DI","0D0165","CD","058000","V","1"
"C1041","RALN","DI","0D0165","CD","050000","V","1"
"C1562","RALN","DI","0D0165","CD","050000","V","1"
"C1658","RALN","DI","0D0165","CD","050000","V","1"
"C3076","RALN","DI","0D0165","CD","050000","V","1"
"C3857","RALN","DI","0D0165","CD","050000","V","1"
"C6825","RALN","DI","0D0165","CD","050000","V","1"
"R9209","RALN","DI","0D0165","CD","050000","V","1"
"P9066","RALN","DI","0D0165","CD","050000","V","1"
"P9085","RALN","DI","0D0165","CD","050000","V","2"
"V9728","RALN","DI","0D0165","CD","050000","V","1"
"C3399","RALN","DI","0D0165","CD","049000","V","1"
"C6704","RALN","DI","0D0165","CD","049000","V","1"
"C3652","RALN","DI","0D0165","CD","049000","V","1"
"P9066","RALN","DI","0D0165","CD","049000","V","1"
"P9049","RALN","DI","0D0165","CD","049000","V","1"
"C671","RALN","DI","0D0165","CD","057000","V","1"
"C2690","RALN","DI","0D0165","CD","057000","V","1"
"C3042","RALN","DI","0D0165","CD","057000","V","1"
"P9071","RALN","DI","0D0165","CD","057000","V","1"
"P9066","RALN","DI","0D0165","CC","046000","V","1"
"R9191","RALN","DI","0D0165","DG","0D0097","V","1"
"R9192","RALN","DI","0D0165","DG","0D0097","V","1"
"C4347","RALN","DI","0D0165","DF","0D0098","V","1"
"C6436","RALN","DI","0D0165","DF","0D0098","V","1"
"C6874","RALN","DI","0D0165","DF","0D0098","V","1"
"C6915","RALN","DI","0D0165","DF","0D0098","V","1"
"C7120","RALN","DI","0D0165","DF","0D0098","V","2"
"C7327","RALN","DI","0D0165","DF","0D0098","V","1"
"ER11087","RALN","DI","0D0165","PC","000061","V","1"
"R9191","RALN","DI","0D0165","RP","000096","V","1"
"U10812","SSNA","SI","S18023","DS","SD0483","V","1"
"U9681","SSNA","SI","S18023","DS","SD0483","V","1"
"U9685","SSNA","SI","S18023","DS","SD0483","V","1"
"U9480","SSNA","SI","S18023","DS","SD0483","V","1"
"U11799","SSNA","SI","S18023","ST","S18920","V","1"
"U10509","SSNA","SI","S18023","ST","S18920","V","1"
"U9654","SSNA","SI","S18023","SV","S18921","V","1"
"U9660","SSNA","SI","S18023","SV","S18921","V","2"
"U11804","SSNA","SI","S18023","SV","S18921","V","1"
"U10509","SSNA","SI","S18023","SF","S18922","V","1"
"U9565","SSNA","SI","S16020","DS","SD0A65","V","1"
"U9677","SSNA","SI","S16020","DS","SD0483","V","1"
"U9692","SSNA","SI","S16020","DS","SD0483","V","1"
"U9636","SSNA","SI","S16020","DS","SD0483","V","1"
"U9413","SSNA","SI","S16020","DS","SD0483","V","1"
"U10903","SSNA","SI","S16020","ST","S16021","V","1"
"U10048","SSNA","SI","S16020","ST","S16021","V","3"
"U9636","SSNA","SI","S16020","ST","S16021","V","1"
"U10509","SSNA","SI","S16020","ST","S16021","V","17"
"U9535","SSNA","SI","S16020","ST","S16021","V","1"
"U10750","SSNA","SI","S16020","ST","S16021","V","3"
"U10738","SSNA","SI","S16020","ST","S16021","V","2"
"J8624","SSNA","SI","S16020","ST","S16021","V","1"
"U9421","SSNA","SI","S16020","SV","S16022","V","1"
"U9431","SSNA","SI","S16020","SV","S16022","V","3"
"U9545","SSNA","SI","S16020","SV","S16022","V","1"
"U9576","SSNA","SI","S16020","SV","S16022","V","1"
"PU9818","SSNA","SI","S16020","SF","S16019","V","1"
"U9508","SSNA","SI","S16020","LT","T16024","V","1"
"U9523","SSNA","SI","S16020","LT","T14E59","V","1"
"U9551","SSNA","SI","S16020","LT","T13660","V","1"
"U9675","SSNA","SI","S16020","LT","T12058","V","1"
"U9675","SSNA","SI","S16020","LT","T11008","V","1"
"U9834","SSNA","SI","S16020","LA","A16028","V","1"
"U10735","SSNA","SI","S16020","LA","A16028","V","2"
"U9433","SSNA","SI","S16020","LA","A16028","V","1"
"U11799","SSNA","SI","S16020","LA","A14005","V","1"
"U9834","SSNA","SI","S16020","LA","A14005","V","1"
"U9471","SSNA","SI","S16020","LA","A14005","V","2"
"U9524","SSNA","SI","S16020","LA","A14005","V","3"
"U9515","SSNA","SI","S16020","LA","A14005","V","1"
"U9647","SSNA","SI","S16020","LA","A14005","V","1"
"U10289","SSNA","SI","S16020","LA","A14005","V","1"
"U9475","SSNA","SI","S16020","LA","A14005","V","1"
"U10740","SSNA","SI","S16020","LA","A14005","V","1"
"U9419","SSNA","SI","S16020","LA","A14005","V","1"
"U9550","SSNA","SI","S16020","LA","A14005","V","1"
"U9544","SSNA","SI","S16020","LA","A14005","V","1"
"U9523","SSNA","SI","S16020","LA","A14005","V","2"
"U9539","SSNA","SI","S16020","LA","A14005","V","1"
"U9412","SSNA","SI","S16020","LA","A14005","V","1"
"U9535","SSNA","SI","S16020","LA","A14005","V","1"
"U9566","SSNA","SI","S16020","LA","A14005","V","1"
"U10750","SSNA","SI","S16020","LA","A14005","V","1"
"U10751","SSNA","SI","S16020","LA","A14005","V","1"
"U9562","SSNA","SI","S16020","LA","A14005","V","2"
"U9631","SSNA","SI","S16020","LA","A14005","V","2"
"U9514","SSNA","SI","S16020","LA","A14005","V","5"
"U10519","SSNA","SI","S16020","LA","A14005","V","1"
"U10521","SSNA","SI","S16020","LA","A14005","V","4"
"U10326","SSNA","SI","S16020","LA","A14005","V","2"
"U9629","SSNA","SI","S16020","LA","A14005","V","1"
"U11894","SSNA","SI","S16020","LA","A14005","V","1"
"U9580","SSNA","SI","S16020","LA","A14005","V","1"
"J8624","SSNA","SI","S16020","LA","A14005","V","1"
