"Istituzione","Contratto","Categoria","Qualifica","Causale Cessazione","Uomini","Donne"
"M10398","MNST","2A","035F05","C01","6","14"
"M10398","MNST","2A","035F04","C01","0","1"
"M10398","MNST","2A","034F03","C01","5","9"
"M10398","MNST","2A","032F02","C01","1","2"
"M10398","MNST","1A","024F03","C01","3","3"
"M10400","MNST","D1","0D0077","C01","1","1"
"M10400","MNST","D2","0D0079","C01","3","2"
"M10400","MNST","3A","044F05","C01","3","0"
"M10400","MNST","3A","043F04","C01","2","2"
"M10400","MNST","3A","042F03","C01","9","1"
"M10400","MNST","2A","035F05","C01","2","4"
"M10400","MNST","2A","035F04","C01","1","1"
"M10400","MNST","2A","034F03","C01","4","3"
"M10400","MNST","2A","032F02","C01","4","2"
"M8665","MNST","D1","0D0077","C01","3","0"
"M8665","MNST","D2","0D0079","C01","2","2"
"M8665","MNST","3A","044F05","C01","14","26"
"M8665","MNST","3A","043F04","C01","12","18"
"M8665","MNST","3A","042F03","C01","3","10"
"M8665","MNST","3A","041F02","C01","1","2"
"M8665","MNST","3A","040F01","C01","3","0"
"M8665","MNST","2A","035F04","C01","9","3"
"M8665","MNST","2A","034F03","C01","33","30"
"M8665","MNST","2A","032F02","C01","25","12"
"M8665","MNST","2A","030F01","C01","26","17"
"M8665","MNST","1A","024F02","C01","6","6"
"RA65","MNST","D2","0D0079","C01","1","0"
"RA65","MNST","3A","0E0076","C01","1","0"
"RA65","MNST","3A","044F05","C01","4","0"
"RA65","MNST","3A","043F04","C01","3","0"
"RA65","MNST","3A","041F02","C01","1","1"
"RA65","MNST","2A","035F04","C01","1","0"
"RA65","MNST","2A","034F03","C01","3","0"
"RA65","MNST","2A","030F01","C01","1","0"
"RA65","MNST","PC","000061","C01","1","0"
"AA10","MNST","3A","043F04","C01","1","0"
"M8649","PCMD","D1","0D0CON","C01","1","1"
"M8649","PCMD","D2","0D0376","C01","0","1"
"M8649","PCMD","CA","0CAF08","C01","2","2"
"M8649","PCMD","CA","0CAF07","C01","1","1"
"M8649","PCMD","CA","0CAF06","C01","3","1"
"M8649","PCMD","CA","0CAF05","C01","1","2"
"M8649","PCMD","CA","0CAF04","C01","2","0"
"M8649","PCMD","CA","0CAF02","C01","0","1"
"M8649","PCMD","CA","0CAF01","C01","0","1"
"M8649","PCMD","CB","0CBF09","C01","1","3"
"M8649","PCMD","CB","0CBF08","C01","6","1"
"M8649","PCMD","CB","0CBF07","C01","3","0"
"M8649","PCMD","CB","0CBF05","C01","1","1"
"M8649","PCMD","CB","0CBF04","C01","1","0"
"AG9844","AGFI","D1","0D0077","C01","4","0"
"AG9844","AGFI","D2","0D0079","C01","1","1"
"AG9844","AGFI","3A","044F06","C01","6","1"
"AG9844","AGFI","3A","044F05","C01","6","2"
"AG9844","AGFI","3A","043F04","C01","18","5"
"AG9844","AGFI","3A","042F03","C01","2","5"
"AG9844","AGFI","3A","041F02","C01","1","1"
"AG9844","AGFI","3A","040F01","C01","5","3"
"AG9844","AGFI","2A","035F06","C01","2","0"
"AG9844","AGFI","2A","035F05","C01","5","2"
"AG9844","AGFI","2A","035F04","C01","3","5"
"AG9844","AGFI","2A","034F03","C01","18","13"
"AG9844","AGFI","2A","032F02","C01","8","4"
"AG9844","AGFI","2A","030F01","C01","1","1"
"AG9844","AGFI","1A","024F02","C01","0","2"
"AG9847","AGFI","D2","0D0079","C01","4","2"
"AG9847","AGFI","3A","044F06","C01","22","6"
"AG9847","AGFI","3A","044F05","C01","16","8"
"AG9847","AGFI","3A","043F04","C01","23","17"
"AG9847","AGFI","3A","042F03","C01","17","6"
"AG9847","AGFI","3A","041F02","C01","11","16"
"AG9847","AGFI","3A","040F01","C01","8","15"
"AG9847","AGFI","2A","035F05","C01","12","8"
"AG9847","AGFI","2A","035F04","C01","33","46"
"AG9847","AGFI","2A","034F03","C01","20","31"
"AG9847","AGFI","2A","032F02","C01","15","2"
"AG9847","AGFI","2A","030F01","C01","8","2"
"AG9847","AGFI","1A","024F02","C01","3","1"
"M8655","VVFF","DI","0D0188","C01","4","0"
"M8655","VVFF","DI","0D0189","C01","1","0"
"M8655","VVFF","DI","0D026A","C01","3","0"
"M8655","VVFF","VD","D43D05","C01","2","0"
"M8655","VVFF","IA","I42SD3","C01","8","0"
"M8655","VVFF","IA","I42IS4","C01","1","0"
"M8655","VVFF","IA","I42IS3","C01","5","0"
"M8655","VVFF","CL","C40DA3","C01","0","2"
"M8655","VVFF","CL","C40CA2","C01","1","7"
"M8655","VVFF","CR","Q34CR3","C01","29","0"
"M8655","VVFF","CR","Q34CR2","C01","8","0"
"M8655","VVFF","CR","Q34CR1","C01","27","0"
"M8655","VVFF","CR","Q32CS3","C01","19","0"
"M8655","VVFF","CR","Q32CS2","C01","2","0"
"M8655","VVFF","CR","Q32CS1","C01","1","0"
"M8655","VVFF","AT","E32AS2","C01","3","2"
"M8655","VVFF","OP","O25OP4","C01","2","0"
"M8655","VVFF","OP","O25OP2","C01","1","0"
"M8668","CM09","TS","0D0290","C01","1","0"
"M8659","CCSS","DI","0D0554","C01","1","0"
"M8659","CCSS","DI","0D0221","C01","1","0"
"M8659","CCSS","DI","0D0220","C01","7","0"
"M8659","CCSS","DI","0D0524","C01","5","0"
"M8659","CCSS","DI","0D0218","C01","26","0"
"M8659","CCSS","TS","0D0525","C01","1","0"
"M8659","CCSS","TS","0D0228","C01","6","0"
"M8659","CCSS","TS","0D0302","C01","7","0"
"M8659","CCSS","TS","0D0232","C01","1","0"
"M8659","CCSS","TS","0D0530","C01","1","0"
"M8659","CCSS","IP","016MC0","C01","5","0"
"M8659","CCSS","IP","017837","C01","4","0"
"M8659","CCSS","IP","017836","C01","88","0"
"M8659","CCSS","IP","017237","C01","1","0"
"M8659","CCSS","RS","015212","C01","10","0"
"M8659","CCSS","RS","014211","C01","6","0"
"M8659","CCSS","RS","015839","C01","35","0"
"M8659","CCSS","PP","013842","C01","4","0"
"M8660","CFOR","DI","0D0400","C01","1","0"
"M8660","CFOR","DI","0D0274","C01","2","0"
"M8660","CFOR","TS","0D0572","C01","1","0"
"M8660","CFOR","IP","017836","C01","15","0"
"M8660","CFOR","IP","017837","C01","2","0"
"M8660","CFOR","IP","017268","C01","16","0"
"M8660","CFOR","IP","016IC0","C01","1","0"
"M8660","CFOR","IP","016192","C01","2","0"
"M8660","CFOR","IP","014201","C01","1","0"
"M8660","CFOR","RS","015839","C01","8","1"
"M8660","CFOR","RS","015198","C01","14","0"
"M8660","CFOR","AS","013842","C01","4","0"
"M8660","CFOR","AS","013181","C01","3","0"
"M8660","CFOR","PC","000061","C01","9","0"
"M8668","GGFF","DI","0D0554","C01","1","0"
"M8668","GGFF","DI","0D0221","C01","4","0"
"M8668","GGFF","DI","0D0220","C01","2","0"
"M8668","GGFF","DI","0D0218","C01","22","0"
"M8668","GGFF","DI","0D0217","C01","2","0"
"M8668","GGFF","TS","0D0229","C01","2","0"
"M8668","GGFF","TS","0D0228","C01","7","0"
"M8668","GGFF","TS","0D0528","C01","1","0"
"M8668","GGFF","TS","0D0302","C01","2","0"
"M8668","GGFF","UF","018213","C01","6","0"
"M8668","GGFF","UF","018226","C01","2","0"
"M8668","GGFF","IP","017836","C01","53","0"
"M8668","GGFF","IP","017837","C01","6","0"
"M8668","GGFF","IP","017237","C01","4","0"
"M8668","GGFF","RS","015212","C01","2","0"
"M8668","GGFF","RS","014211","C01","1","0"
"M8668","GGFF","RS","014230","C01","1","0"
"M8668","GGFF","RS","015839","C01","45","0"
"M8655","PPSS","DI","0D0400","C01","21","0"
"M8655","PPSS","DI","0D0189","C01","9","1"
"M8655","PPSS","DI","0D0274","C01","16","4"
"M8655","PPSS","TS","0D0203","C01","6","2"
"M8655","PPSS","TS","0D0515","C01","1","0"
"M8655","PPSS","TS","0D0202","C01","4","1"
"M8655","PPSS","TS","0D0516","C01","2","0"
"M8655","PPSS","VD","019207","C01","1","0"
"M8655","PPSS","IP","017836","C01","88","5"
"M8655","PPSS","IP","017837","C01","1","0"
"M8655","PPSS","IP","017268","C01","6","0"
"M8655","PPSS","IP","016192","C01","4","0"
"M8655","PPSS","IP","016IC0","C01","70","0"
"M8655","PPSS","RS","015198","C01","6","1"
"M8655","PPSS","RS","014197","C01","4","0"
"M8655","PPSS","RS","015839","C01","73","0"
"M8655","PPSS","AS","013842","C01","3","0"
"M8652","PPEN","IP","017836","C01","27","0"
"M8652","PPEN","IP","017837","C01","4","0"
"M8652","PPEN","IP","017268","C01","11","0"
"M8652","PPEN","IP","016192","C01","31","0"
"M8652","PPEN","IP","015191","C01","1","0"
"M8652","PPEN","IP","014201","C01","1","0"
"M8652","PPEN","RS","015198","C01","81","0"
"M8652","PPEN","RS","014197","C01","87","0"
"M8652","PPEN","RS","014280","C01","29","0"
"M8652","PPEN","AS","013259","C01","315","0"
"M8652","PPEN","AS","013181","C01","8","0"
"M8652","PPEN","AS","013179","C01","2","0"
"M8652","PPEN","AS","013842","C01","200","0"
"M8652","PPEN","AS","013257","C01","4","0"
"M8659","AAMM","DI","0D0298","C01","5","0"
"M8659","AAMM","DI","0D0297","C01","7","0"
"M8659","AAMM","DI","0D0218","C01","42","0"
"M8659","AAMM","TS","0D0229","C01","16","0"
"M8659","AAMM","TS","0D0302","C01","1","0"
"M8659","AAMM","MR","017830","C01","13","0"
"M10756","CPOR","DI","0D0334","C01","1","0"
"M10756","CPOR","DI","0D0562","C01","2","0"
"M10756","CPOR","DI","0D0346","C01","6","0"
"M10756","CPOR","MR","017830","C01","10","0"
"M8659","CM10","DI","0D0191","C01","1","0"
"M8659","CM10","DI","0D0358","C01","4","0"
"M8659","CM10","TS","0D0356","C01","5","0"
"M8659","CM10","TS","0D0290","C01","1","0"
"M8659","CM10","TS","0D0289","C01","1","0"
"M8659","CM10","TS","0D0286","C01","1","0"
"M8659","EEII","DI","0D0328","C01","3","0"
"M8659","EEII","DI","0D0323","C01","5","0"
"M8659","EEII","DI","0D0317","C01","6","0"
"M8659","EEII","DI","0D0218","C01","8","0"
"M8659","EEII","MR","017830","C01","58","0"
"M8659","EEII","MR","017834","C01","7","0"
"M8659","EEII","MR","016MC0","C01","1","0"
"M8659","MMAA","DI","0D0340","C01","3","0"
"M8659","MMAA","DI","0D0339","C01","3","0"
"M8659","MMAA","DI","0D0334","C01","19","0"
"M8659","MMAA","DI","0D0346","C01","6","0"
"M8659","MMAA","TS","0D0331","C01","13","0"
"M8659","MMAA","TS","0D0564","C01","1","0"
"M8659","MMAA","TS","0D0565","C01","8","0"
"M8659","MMAA","MR","017830","C01","49","0"
"M8659","MMAA","MR","017556","C01","1","0"
"M8659","MMAA","MR","016C10","C01","1","0"
"OC9816","AVST","G1","0D0381","C01","1","0"
"OC9816","AVST","G1","0D0845","C01","1","0"
"OC9816","AVST","G1","0D0380","C01","16","2"
"OC9829","CSTA","G1","0D0PSE","C01","20","0"
"OC9829","CSTA","G1","0D0COE","C01","1","0"
"OC9815","CCON","G1","0D0PSE","C01","20","4"
"M8659","MAMI","G1","0D0388","C01","2","0"
"M8659","MAMI","G1","0D0389","C01","1","0"
"M8652","MGOR","G1","0D0MT3","C01","1","0"
"M8652","MGOR","G1","0D0MT4","C01","59","5"
"M8653","CDIP","E1","0D0106","C01","5","0"
"M8653","CDIP","E1","0D0109","C01","10","0"
"M8653","CDIP","E1","0D0107","C01","2","1"
"M8655","CPRE","I1","0D0111","C01","22","2"
"M8655","CPRE","I1","0D0112","C01","4","2"
"M8655","CPRE","I1","0D0113","C01","0","4"
"M8652","CPEN","CP","0D0DGP","C01","1","1"
"M8652","CPEN","CP","0D0DPP","C01","2","0"
"E8429","EPNE","AA","027000","C01","1","0"
"AG191","EPNE","AB","034000","C01","1","0"
"E8535","EPNE","D2","0D0079","C01","1","0"
"E8535","EPNE","AC","045000","C01","0","1"
"E8535","EPNE","AC","043000","C01","1","2"
"E8535","EPNE","AB","034000","C01","2","0"
"AA8582","EPNE","MD","0D0585","C01","0","1"
"AA8582","EPNE","AC","046000","C01","1","0"
"AA8582","EPNE","AB","034000","C01","0","1"
"AA8582","EPNE","AB","030000","C01","2","0"
"T8531","EPNE","AB","034000","C01","1","0"
"F8522","EPNE","D2","0D0079","C01","2","0"
