"Istituzione","Contratto","Categoria","Stipendio","Ria","Tredicesima","Straordinario","Indennità Fisse","Altre Accessorie"
"C481","PRBZ","FP","40214","15743","8161","3386","49949","18494"
"C651","PRBZ","FP","40214","6267","7699","9251","53459","11181"
"C728","PRBZ","FP","40214","8058","5946","0","27703","8123"
"C970","PRBZ","FP","40214","2686","8822","0","75551","0"
"C1121","PRBZ","FP","40214","746","5687","288","31466","2977"
"C1131","PRBZ","FP","40214","12982","7756","3697","47850","5858"
"C1164","PRBZ","FP","39314","3357","5905","4875","32612","5682"
"C1177","PRBZ","FP","40214","12012","7675","16574","47850","26751"
"C1302","PRBZ","FP","40214","11191","7387","4777","50607","16701"
"C1409","PRBZ","FP","40214","5745","6103","1752","32740","3263"
"C1445","PRBZ","FP","40214","7685","6996","30977","50369","2479"
"C1832","PRBZ","FP","40214","13430","6569","31325","30221","1074"
"C1989","PRBZ","FP","40214","2686","8404","535","67182","20024"
"C2288","PRBZ","FP","41167","4625","4748","0","32738","1195"
"C2307","PRBZ","FP","38022","3634","8221","0","32591","7862"
"C1631","PRBZ","FP","40214","6267","7196","0","48270","15937"
"C2638","PRBZ","FP","40214","1940","5940","2839","29121","11623"
"C2743","PRBZ","FP","40214","12534","6494","445","29465","8409"
"C2810","PRBZ","FP","40214","6267","6672","626","40295","3581"
"C2938","PRBZ","FP","40214","1791","5774","0","32635","4211"
"C3212","PRBZ","FP","40214","1791","5774","0","32740","1906"
"C3243","PRBZ","FP","40214","5223","6585","17726","40295","1785"
"C3754","PRBZ","FP","40214","1940","5940","494","33725","1018"
"C3675","PRBZ","FP","40214","3656","6279","0","37278","599"
"C3685","PRBZ","FP","40214","5372","6597","4601","40295","1901"
"C3692","PRBZ","FP","32759","8350","5699","3275","30830","9692"
"C3693","PRBZ","FP","40214","5894","7165","10316","47850","0"
"C3705","PRBZ","FP","40214","7163","7271","1707","45856","9853"
"C3723","PRBZ","FP","40214","10445","6845","16862","37461","10911"
"C4008","PRBZ","FP","40214","11639","6245","447","32319","3963"
"C4034","PRBZ","FP","40214","8207","7183","16608","45276","14420"
"C4095","PRBZ","FP","40214","522","6197","844","35640","5436"
"C4112","PRBZ","FP","40214","7163","7777","4280","32740","33317"
"C4131","PRBZ","FP","40214","2611","5493","3029","23085","514"
"C4240","PRBZ","FP","40214","6267","5797","4828","27702","6277"
"C4251","PRBZ","FP","40214","9848","9419","12374","74295","14698"
"C4437","PRBZ","FP","40214","12385","6657","0","32740","10378"
"C4455","PRBZ","FP","40214","4700","5667","0","27010","3947"
"C4764","PRBZ","FP","40214","2686","5849","685","32740","20873"
"C4828","PRBZ","FP","40214","9848","7145","2210","41743","50"
"C4907","PRBZ","FP","32759","3806","4971","2133","28542","9685"
"C4908","PRBZ","FP","40214","10744","7394","0","45331","13044"
"C5012","PRBZ","FP","40214","9923","7326","0","45331","11872"
"C5056","PRBZ","FP","44214","895","7008","10329","42984","3195"
"C5218","PRBZ","FP","40214","0","6149","10377","39754","6341"
"C5308","PRBZ","FP","32759","4029","5373","0","24497","206"
"C5764","PRBZ","FP","40214","4477","6348","9435","37155","6707"
"C5865","PRBZ","FP","40214","10744","7045","6960","39959","5596"
"C5891","PRBZ","FP","40214","12534","6669","3772","32740","8731"
"C5925","PRBZ","FP","40214","6566","7370","10506","47850","0"
"C5962","PRBZ","FP","40214","1268","6752","1254","27099","27882"
"C5974","PRBZ","FP","40114","7536","6602","2982","37776","7036"
"C6124","PRBZ","FP","40214","4477","5648","212","27702","2779"
"C6309","PRBZ","FP","40214","12534","7019","4282","37776","3112"
"C6361","PRBZ","FP","40214","8282","6840","6715","40295","6608"
"C6498","PRBZ","FP","32759","4030","5864","3273","40295","7013"
"C6501","PRBZ","FP","40214","5745","6628","433","40298","5429"
"C6658","PRBZ","FP","40213","224","5781","1766","33549","423"
"C6858","PRBZ","FP","40214","9401","7283","9765","45331","19374"
"C6984","PRBZ","FP","37108","1679","6445","0","27703","19258"
"C6982","PRBZ","FP","40215","7685","7053","5409","42618","0"
"C6995","PRBZ","FP","40214","8058","7870","571","31921","26436"
"C7065","PRBZ","FP","34623","3022","5061","5691","27702","6740"
"C7099","PRBZ","FP","40214","3357","8915","583","42613","34887"
"C7130","PRBZ","FP","40214","5372","5723","3818","27560","0"
"C7271","PRBZ","FP","40214","9848","6096","4305","27702","3986"
"C7391","PRBZ","FP","40213","2536","5486","1708","27702","7584"
"C7393","PRBZ","FP","40214","7312","8448","13864","40295","27804"
"C7395","PRBZ","FP","40214","12907","7225","3200","39959","0"
"C7424","PRBZ","FP","40214","8058","5946","3164","27702","1516"
"C7448","PRBZ","FP","40214","4924","6735","12195","42100","1952"
"C7663","PRBZ","FP","40214","0","5275","148","27010","41"
"C7730","PRBZ","FP","40214","895","5350","3938","27702","4733"
"C7757","PRBZ","FP","40214","2462","5830","13764","32600","3605"
"C7748","PRBZ","FP","40214","11191","7614","0","39287","16839"
"C7785","PRBZ","FP","40214","9625","7850","3320","37776","12878"
"C7790","PRBZ","FP","40214","1716","5768","1516","32740","3037"
"C7833","PRBZ","FP","45214","1418","6093","934","37776","8949"
"C7901","PRBZ","FP","40214","8953","7526","4010","27702","24585"
"C8029","PRBZ","FP","40214","5297","5716","0","26895","117"
"C8072","PRBZ","FP","40214","14325","6469","993","27702","3811"
"C8139","PRBZ","FP","40214","5372","6947","0","45331","1048"
"CS11045","PRTN","FP","27576","0","3084","0","9430","0"
"C299","PRTN","FP","45960","3692","5173","0","19565","0"
"C346","PRTN","FP","45960","0","4634","0","23931","446"
"C433","PRTN","FP","34872","1825","5151","0","19682","17497"
"C513","PRTN","FP","45960","1897","5570","0","26121","2400"
"C635","PRTN","FP","45960","0","4634","0","19647","7625"
"C771","PRTN","FP","45960","0","5028","0","16581","8521"
"C802","PRTN","FP","34872","1054","4727","0","13183","15511"
"C958","PRTN","FP","45960","0","6168","0","24884","12335"
"C1015","PRTN","FP","45960","0","5838","0","34098","1767"
"C1071","PRTN","FP","34872","0","4402","0","12217","13120"
"C1112","PRTN","FP","34872","0","3888","0","7387","10265"
"C1256","PRTN","FP","34872","671","4687","0","15213","14044"
"C1291","PRTN","FP","45960","0","6168","0","22856","21895"
"C1294","PRTN","FP","34872","3326","4669","0","11050","14149"
"C1305","PRTN","FP","34872","0","4402","0","12217","10653"
"C1308","PRTN","FP","46099","2835","4882","0","16791","0"
"C1397","PRTN","FP","34872","0","4402","0","12217","10576"
"C1405","PRTN","FP","34872","1001","3777","0","5216","4855"
"C1450","PRTN","FP","34872","0","4144","0","19682","733"
"C1452","PRTN","FP","34872","0","4144","0","19682","3492"
"C1571","PRTN","FP","34872","0","3522","0","12217","12"
"C1618","PRTN","FP","34872","2505","3730","0","14149","920"
"C1934","PRTN","FP","34872","1482","4267","0","19682","5938"
"C1957","PRTN","FP","34872","226","3540","0","12217","1980"
"C2088","PRTN","FP","45960","1859","5020","0","19565","0"
"C2105","PRTN","FP","34872","0","4144","0","19682","11"
"C2157","PRTN","FP","34872","2217","4843","0","15347","13454"
"C2338","PRTN","FP","34872","803","4529","0","14283","11960"
"C2425","PRTN","FP","45960","1213","4967","0","40628","10359"
"C2428","PRTN","FP","34872","2691","4892","337","13281","14106"
"C10789","PRTN","FP","34872","0","4144","0","19682","6172"
"C2524","PRTN","FP","34872","1810","5326","0","16784","23738"
"C2542","PRTN","FP","34872","1842","4637","0","16215","15192"
"C2732","PRTN","FP","34872","2217","4633","0","13183","11119"
"C2766","PRTN","FP","34849","2671","4811","0","12433","12760"
"C2785","PRTN","FP","34872","1441","4254","0","12170","9075"
"C2830","PRTN","FP","33580","2376","4486","0","8723","10767"
"C2855","PRTN","FP","45960","2211","5782","0","16791","13817"
"C2915","PRTN","FP","34872","426","3557","0","13176","1620"
"C2924","PRTN","FP","34872","2666","4680","0","14214","15280"
"C2965","PRTN","FP","34872","0","4402","0","13281","14032"
"C3010","PRTN","FP","34872","2678","4367","0","19682","3964"
"C3056","PRTN","FP","34871","0","4399","0","7377","0"
"C3071","PRTN","FP","45960","2729","5093","0","19565","5762"
"C3080","PRTN","FP","34872","0","4972","0","19682","16490"
"C3125","PRTN","FP","34872","1187","3620","0","12190","1195"
"C3400","PRTN","FP","34872","0","4144","0","36840","284"
"C3417","PRTN","FP","34872","1146","4521","0","12217","7485"
"C3505","PRTN","FP","45960","0","6168","0","15716","13644"
"C3539","PRTN","FP","35381","1413","4602","0","10607","11138"
"C3590","PRTN","FP","34872","3307","4419","0","19682","2832"
"C3622","PRTN","FP","46605","4263","5840","0","11590","16316"
"C3726","PRTN","FP","33923","0","4972","0","19277","9674"
"C3755","PRTN","FP","45960","0","5555","0","24228","11053"
"C3761","PRTN","FP","45960","0","4865","0","19565","7570"
"C10889","PRTN","FP","45960","480","4674","0","19647","4089"
"C3814","PRTN","FP","45960","0","4865","0","19565","18972"
"C3856","PRTN","FP","34872","0","4402","0","7387","10565"
"C3883","PRTN","FP","34872","1439","3641","0","11251","0"
"C3953","PRTN","FP","34872","0","3522","0","7387","1140"
"C4024","PRTN","FP","45960","1510","5990","0","21898","16910"
"C4287","PRTN","FP","34872","0","4144","0","20648","6994"
"C4290","PRTN","FP","45960","2798","6447","0","22856","13219"
"C4293","PRTN","FP","45960","3379","5147","0","22421","1416"
"C4353","PRTN","FP","45960","0","4865","0","19565","4293"
"C4385","PRTN","FP","35731","0","5011","0","18734","9880"
"C4414","PRTN","FP","34872","890","4471","0","13281","14704"
"C4831","PRTN","FP","34872","2217","3878","0","12941","3462"
"C4892","PRTN","FP","45960","2881","5849","0","9651","11698"
"C4905","PRTN","FP","34871","0","3521","0","15638","841"
"C5083","PRTN","FP","34872","868","4487","0","9129","2971"
"C5123","PRTN","FP","34872","0","3522","0","12217","2601"
"C5288","PRTN","FP","34882","0","4145","0","17808","2002"
"C5294","PRTN","FP","45960","0","6202","0","24922","25935"
"C5317","PRTN","FP","46865","2217","6877","0","43449","7328"
"C5473","PRTN","FP","34872","0","4402","0","14102","13972"
"C5486","PRTN","FP","34872","0","4968","0","262","10750"
"C5507","PRTN","FP","45960","6592","5415","0","19565","13759"
"C5613","PRTN","FP","34872","2744","4372","0","19682","1317"
"C5721","PRTN","FP","34872","1187","4040","0","12420","17506"
"C12345","PRTN","FP","38568","1148","3988","100","12811","1487"
"C5774","PRTN","FP","45960","2332","6027","0","18851","18768"
"C5860","PRTN","FP","34872","1734","4792","0","12217","20373"
"C5872","PRTN","FP","34872","0","3522","0","12216","4848"
"C5937","PRTN","FP","34872","0","4574","0","7387","17460"
"C6000","PRTN","FP","45960","211","5449","0","26342","0"
"C6148","PRTN","FP","34872","480","4490","0","9453","11136"
"C6156","PRTN","FP","34872","1187","3793","0","7387","3147"
"C6164","PRTN","FP","34872","0","4144","0","17106","8017"
"C6179","PRTN","FP","34872","0","4440","0","9453","11016"
"C5207","PRTN","FP","34872","0","3345","464","8654","20131"
"C6225","PRTN","FP","34872","0","3522","0","12217","0"
"C6229","PRTN","FP","45960","3220","7105","0","48876","11479"
"C6248","PRTN","FP","34872","816","5033","0","18710","21014"
"C12341","PRTN","FP","34872","0","3522","0","12217","2945"
"C6562","PRTN","FP","34872","0","4144","0","21372","2937"
"C6841","PRTN","FP","34872","0","4604","0","8577","13480"
"C6956","PRTN","FP","34872","1859","5154","0","19682","19293"
"C6972","PRTN","FP","45960","389","6201","0","22856","2355"
"C7087","PRTN","FP","34872","0","4402","0","14149","10565"
"C7232","PRTN","FP","34872","633","4196","0","21614","6457"
"C7284","PRTN","FP","45960","184","5579","0","17648","26411"
"C7291","PRTN","FP","34872","0","4402","0","14149","13901"
"C7356","PRTN","FP","34872","0","4968","0","18609","9892"
"C7379","PRTN","FP","34872","3371","5338","0","22140","17505"
"C7383","PRTN","FP","34872","1344","3634","0","11734","230"
"C7384","PRTN","FP","34872","1699","3835","0","12217","5861"
"C7392","PRTN","FP","36653","0","3199","0","17028","0"
"C7403","PRTN","FP","34872","863","5024","0","21748","9698"
"C7423","PRTN","FP","45960","428","5597","0","9651","15059"
"C7444","PRTN","FP","45960","1984","6037","0","19565","24916"
"C7476","PRTN","FP","34872","0","2329","0","20677","12250"
"C7607","PRTN","FP","45960","2518","7069","0","43345","0"
"C7674","PRTN","FP","34872","1187","4243","0","19207","600"
"C12342","PRTN","FP","34775","0","4396","0","12196","10470"
"C7768","PRTN","FP","36872","0","4396","0","6156","17624"
"C7847","PRTN","FP","34872","0","4396","0","12217","14405"
"C7860","PRTN","FP","45960","486","5610","0","15251","15056"
"C8012","PRTN","FP","34872","2672","5191","0","19682","9892"
"C8019","PRTN","FP","34872","0","4396","0","13281","0"
"C8026","PRTN","FP","45960","1117","5701","0","16791","13756"
"C8060","PRTN","FP","45960","2055","5767","0","14027","17198"
"C8100","PRTN","FP","34872","0","3522","0","14109","2319"
"C8175","PRTN","FP","45960","0","4634","0","23931","228"
"C8197","PRTN","FP","46922","3213","7183","0","9124","33423"
"C288","REFR","FP","31983","0","4037","0","7748","808"
"C426","REFR","FP","39979","0","3332","0","7574","12661"
"C573","REFR","FP","31938","0","3432","0","6964","6029"
"C631","REFR","FP","39979","2990","3581","0","5018","44802"
"C644","REFR","FP","39979","0","5663","0","15674","13591"
"C907","REFR","FP","31983","0","3399","0","22605","2703"
"C1204","REFR","FP","39979","0","5355","0","11481","20799"
"C1416","REFR","FP","39979","0","3332","0","22867","15010"
"C1563","REFR","FP","39979","124","3362","0","18455","13346"
"C1750","REFR","FP","39979","0","4484","0","17614","14777"
"C1958","REFR","FP","31983","0","2665","0","9358","10495"
"C2102","REFR","FP","31983","0","2665","0","7096","12904"
"C2235","REFR","FP","39979","0","6562","0","24497","1705"
"C2394","REFR","FP","39979","0","3352","0","36332","8058"
"C2442","REFR","FP","39979","0","6279","0","25167","21783"
"C2573","REFR","FP","39979","0","5150","0","21820","298"
"C2592","REFR","FP","39979","881","5450","0","27529","22750"
"C2603","REFR","FP","39979","0","3352","0","15847","11864"
"C2803","REFR","FP","39979","0","5472","0","12279","13741"
"C2892","REFR","FP","39979","0","3332","0","11080","12661"
"C2913","REFR","FP","39979","0","5260","0","17410","14494"
"C2918","REFR","FP","39979","0","5683","0","24902","15964"
"C3048","REFR","FP","39979","1093","4993","0","25874","896"
"C3052","REFR","FP","39979","0","5445","0","12482","14003"
"C3085","REFR","FP","39979","1417","6987","0","31809","24898"
"C3430","REFR","FP","39979","625","7764","0","24103","18779"
"C3443","REFR","FP","39979","0","7272","0","40616","0"
"C3461","REFR","FP","39979","1537","3480","0","81920","0"
"C3738","REFR","FP","39979","0","5688","0","21996","15809"
"C3825","REFR","FP","39979","0","5223","0","22694","4058"
"C4010","REFR","FP","39979","0","5251","0","11571","21836"
"C4022","REFR","FP","39979","0","3935","0","7477","16202"
"C4105","REFR","FP","39979","0","4938","0","14541","14589"
"C4132","REFR","FP","39979","0","6219","0","24129","17509"
"C4424","REFR","FP","39979","0","3332","0","43156","0"
"C4757","REFR","FP","39979","0","3352","0","25852","15698"
"C4812","REFR","FP","39979","167","4149","0","9647","1219"
"C4866","REFR","FP","31983","0","4272","0","9539","3608"
"C5107","REFR","FP","39979","1054","3419","0","8080","12976"
"C5166","REFR","FP","39979","0","3332","0","20172","12787"
"C5180","REFR","FP","39979","0","3332","0","8080","12807"
"C5196","REFR","FP","39979","505","3374","0","8080","15172"
"C5256","REFR","FP","39979","0","3332","0","10189","17070"
"C5264","REFR","FP","39979","0","3332","0","7697","20480"
"C5675","REFR","FP","39979","0","5194","0","23511","713"
"C5677","REFR","FP","39979","123","6977","0","43619","1045"
"C5680","REFR","FP","39979","837","4342","0","8080","13877"
"C5720","REFR","FP","39979","0","5683","0","19867","13731"
"C5734","REFR","FP","39979","0","3332","0","14743","16092"
"C5758","REFR","FP","39979","0","3935","0","7477","2975"
"C5903","REFR","FP","39979","0","5360","0","13921","13106"
"C5921","REFR","FP","39979","0","3352","0","15040","17717"
"C12289","REFR","FP","39979","569","3379","0","19759","14679"
"C6166","REFR","FP","39979","0","5663","0","31623","2743"
"C6227","REFR","FP","39979","0","4938","0","19280","0"
"C6261","REFR","FP","39979","0","5257","0","23209","1415"
"C6389","REFR","FP","39979","1473","6992","0","33095","19755"
"C6455","REFR","FP","39979","167","4494","0","15585","14403"
"C6463","REFR","FP","39979","660","3387","0","18775","558"
"C6834","REFR","FP","39979","0","5378","0","15826","24318"
"C6962","REFR","FP","39979","0","5355","0","14823","14026"
"C7064","REFR","FP","39979","0","4918","0","12103","11935"
"C7236","REFR","FP","39979","647","6716","0","25112","8411"
"C7353","REFR","FP","39979","633","5307","0","38947","0"
"C7361","REFR","FP","39979","0","5130","0","28089","360"
"C7464","REFR","FP","39979","616","3383","0","32080","2751"
"C7505","REFR","FP","39979","0","3332","0","12797","16021"
"C7578","REFR","FP","31983","0","2665","0","9361","8368"
"C7643","REFR","FP","39979","0","5090","0","23093","15977"
"C7646","REFR","FP","39979","2836","8529","0","73506","68000"
"C7695","REFR","FP","39979","4326","3692","0","72297","0"
"C7899","REFR","FP","31983","0","2665","0","8261","0"
"C8025","REFR","FP","39979","193","3348","0","7198","15019"
"C8233","REFR","FP","39973","0","4451","0","29260","14789"
"P9062","REFR","FP","39979","124","7281","0","53098","0"
"P9090","REFR","FP","40221","1808","6788","0","56243","4275"
"P9117","REFR","FP","40221","0","7272","0","57548","0"
"P9119","REFR","FP","39979","258","5818","0","35535","0"
"AA10255","RESA","DI","34411","3234","6956","0","39094","237"
"ER10673","RESA","DI","34412","2882","6302","0","50583","0"
"ER10531","RESA","DI","33787","631","5991","0","73464","529"
"ER10538","RESA","DI","34412","1906","6367","0","48578","5244"
"RA10651","RESA","DI","34782","2540","7083","0","58207","0"
"RS9203","RESA","DI","34230","2496","6349","0","58671","750"
"C459","REVA","FP","41077","0","5636","0","31125","0"
"C576","REVA","FP","41077","374","5494","0","27678","1714"
"C281","REVA","FP","41077","0","5954","0","29971","0"
"C2446","REVA","FP","41077","33","5447","0","36512","610"
"C3496","REVA","FP","41077","647","5643","0","31165","0"
"C3581","REVA","FP","41077","580","5730","0","33738","0"
"C3602","REVA","FP","41077","0","5516","0","28148","2493"
"C3735","REVA","FP","41077","134","3434","0","34508","0"
"C4732","REVA","FP","41077","524","3467","0","30539","0"
"C5324","REVA","FP","41077","209","4068","0","34178","0"
"C5599","REVA","FP","41077","524","5251","0","32584","0"
"C5651","REVA","FP","41077","335","6013","0","29040","4423"
"C5840","REVA","FP","41077","315","5365","0","30773","0"
"C6141","REVA","FP","41077","131","3418","0","32950","0"
"C6268","REVA","FP","41077","0","5317","0","35447","0"
"C6275","REVA","FP","41077","1409","5827","0","36055","0"
"C6868","REVA","FP","41077","1260","6008","0","33733","654"
"C7827","REVA","FP","41077","0","5726","0","35995","763"
"C8081","REVA","FP","41077","0","5383","0","29333","1970"
"N8718","REVA","FP","41077","0","5583","0","33874","0"
"N8717","REVA","FP","41077","797","3489","0","24708","0"
"N8720","REVA","FP","45606","0","1404","0","39828","0"
"N8721","REVA","FP","41077","1183","5647","0","27632","592"
"N8723","REVA","FP","41077","1074","5751","0","34489","0"
"ER10348","REVA","FP","41133","72","3429","0","22934","0"
"V10375","REVA","FP","41077","0","7659","0","65547","0"
"RS9211","SCBZ","DI","44441","0","4329","1668","34418","597"
"RS9208","SCLA","SD","40236","3407","4451","0","12666","3651"
"M10398","SCLA","SD","40316","1618","4359","0","11143","2589"
"RS9830","SCTN","SD","48396","484","6316","0","26790","387"
"AA57","UCAM","DI","35576","34218","16786","0","35713","0"
"IR9963","UNIV","PR","40061","17568","4802","0","10052","473"
"IR8563","UNIV","PR","42501","22495","8580","0","14784","0"
"Q10425","UNIV","PR","48465","6055","4561","0","9556","0"
"Q10328","UNIV","PR","44433","12049","4037","0","7464","0"
"Q9178","UNIV","PR","41937","13239","4646","0","9354","1603"
"Q9173","UNIV","PR","41068","10067","4310","0","8124","1427"
"Q9174","UNIV","PR","40279","11334","4294","0","8574","2968"
"Q9183","UNIV","PR","46008","11522","4582","0","12427","0"
"Q9175","UNIV","PR","46377","28300","6235","0","11801","58"
"Q9128","UNIV","PR","44070","8376","4377","0","8555","720"
"Q9181","UNIV","PR","41686","11409","4365","0","8651","795"
"Q9179","UNIV","PR","41393","12465","4512","0","9000","939"
"Q9810","UNIV","PR","38744","9344","4978","0","17518","3482"
"Q9186","UNIV","PR","40803","9543","4276","0","10670","1767"
"Q9135","UNIV","PR","39797","7627","3830","0","7955","536"
"Q9184","UNIV","PR","42114","11713","4487","0","9015","466"
"Q9185","UNIV","PR","41281","9989","4105","0","8561","1735"
"Q9130","UNIV","PR","40803","13916","4549","0","10701","276"
"Q9180","UNIV","PR","40686","9453","4170","0","7762","3156"
"Q9131","UNIV","PR","41866","11122","4423","0","8779","438"
"Q9132","UNIV","PR","41491","10487","4337","0","8279","182"
"Q9133","UNIV","PR","41838","12193","4515","0","9102","720"
"Q9134","UNIV","PR","41424","11040","4376","0","8897","377"
"Q9136","UNIV","PR","40746","9136","4243","0","8475","1600"
"Q9137","UNIV","PR","41853","13316","4610","0","9562","642"
"Q9188","UNIV","PR","44470","10930","4600","0","9232","1537"
"Q9139","UNIV","PR","41967","11932","4477","0","9223","553"
"Q9140","UNIV","PR","41426","12511","4460","0","8701","998"
"Q9141","UNIV","PR","42154","13894","4601","0","9262","421"
"Q9189","UNIV","PR","40576","8782","4043","0","7189","1003"
"Q9142","UNIV","PR","41759","13484","4634","0","9279","666"
"Q9187","UNIV","PR","40908","10659","4245","0","8189","651"
"Q9143","UNIV","PR","41377","13396","4559","0","9293","27"
"Q9145","UNIV","PR","40695","8518","4162","0","8179","837"
"Q9146","UNIV","PR","41319","13424","4513","0","9474","979"
"Q9147","UNIV","PR","41679","11562","4515","0","8873","2285"
"Q9148","UNIV","PR","41561","12083","4495","0","9248","878"
"Q9149","UNIV","PR","41622","13089","4586","0","9360","610"
"Q9171","UNIV","PR","42027","12795","4611","0","9831","474"
"Q9170","UNIV","PR","41356","7996","4173","0","8115","2095"
"Q9150","UNIV","PR","41794","11028","4369","0","8960","1184"
"Q9151","UNIV","PR","41070","12185","4537","0","9127","1423"
"Q9152","UNIV","PR","39952","11111","4256","0","8413","425"
"Q9153","UNIV","PR","41990","13452","4656","0","9281","357"
"Q9154","UNIV","PR","41565","12743","4599","0","9667","566"
"Q9155","UNIV","PR","41532","13440","4546","0","9354","672"
"Q9156","UNIV","PR","40500","11865","4420","0","9030","649"
"Q9157","UNIV","PR","40921","10505","4168","0","8857","0"
"Q9158","UNIV","PR","41109","14394","4644","0","9233","1559"
"Q9159","UNIV","PR","41004","13566","4545","0","9123","145"
"Q9160","UNIV","PR","41173","10999","4363","0","9017","2471"
"Q9161","UNIV","PR","41196","12146","4459","0","9338","1736"
"Q9162","UNIV","PR","41850","14728","4701","0","9559","205"
"Q9182","UNIV","PR","40318","8648","4157","0","8814","706"
"Q9163","UNIV","PR","40771","11756","4369","0","8637","1241"
"Q9164","UNIV","PR","41173","10967","4271","0","8664","1770"
"Q9165","UNIV","PR","40928","13958","4592","0","9465","456"
"Q9166","UNIV","PR","41945","12181","4481","0","9221","458"
"Q10602","UNIV","PR","40857","13885","4492","0","8988","924"
