ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIENO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
AA37;SSNA;DA;AD0032;4;2;0;0;0;0
AA37;SSNA;DA;AD0S31;0;2;0;0;0;1
AA37;SSNA;DG;0D0163;1;0;0;0;0;0
AA37;SSNA;DP;PD0046;3;0;0;0;0;0
AA37;SSNA;DS;SD0A12;6;22;0;0;0;0
AA37;SSNA;DS;SD0A41;3;2;0;0;0;0
AA37;SSNA;DS;SD0E39;0;1;0;0;0;0
AA37;SSNA;DT;TD0S01;2;0;0;0;0;0
AA37;SSNA;LA;A13018;14;26;0;1;0;4
AA37;SSNA;LA;A16028;8;31;0;1;2;5
AA37;SSNA;LP;P16006;3;0;0;0;0;0
AA37;SSNA;LT;T12057;20;47;0;0;2;0
AA37;SSNA;LT;T13059;33;26;0;0;0;0
AA37;SSNA;LT;T14007;9;0;0;0;0;0
AA37;SSNA;LT;T16024;1;1;0;0;0;0
AA37;SSNA;LT;T18027;6;6;0;0;0;0
AA37;SSNA;MD;SD0036;31;4;0;0;0;0
AA37;SSNA;MD;SD0E33;20;0;0;0;0;0
AA37;SSNA;MO;SD0047;2;0;0;0;0;0
AA37;SSNA;SF;S16019;5;7;0;2;0;6
AA37;SSNA;SI;S14056;1;0;0;0;0;0
AA37;SSNA;SI;S16020;103;426;0;18;0;25
AA37;SSNA;ST;S16021;45;69;0;0;0;10
AA43;EPNE;AB;032000;1;1;0;0;0;0
AA43;EPNE;AC;043000;0;1;0;0;0;0
AA57;UCAM;AA;027000;1;1;0;0;0;0
AA57;UCAM;AB;032000;4;3;0;0;0;1
AA57;UCAM;AB;036000;1;3;0;0;0;1
AA57;UCAM;AB;038000;0;6;0;0;0;0
AA57;UCAM;AC;040000;2;2;0;0;0;2
AA57;UCAM;AC;043000;2;4;0;0;0;0
AA57;UCAM;DI;0D0164;6;1;0;0;0;0
AA8534;ENAC;1P;0P2000;9;2;0;0;0;0
AA8534;ENAC;1P;0P4000;4;2;0;0;0;0
AA8534;ENAC;2P;0P5000;6;0;0;0;0;0
AA8534;ENAC;2P;0P7000;2;0;0;0;0;0
C1402;RALN;CD;058000;2;0;0;0;0;0
C1402;RALN;FP;0D0103;0;1;0;0;0;0
C1403;RALN;CC;045000;1;0;0;0;0;0
C1403;RALN;DF;0D0095;0;0;0;0;1;0
C1403;RALN;RP;000096;0;0;0;1;0;0
C1404;RALN;CB;038490;1;1;0;0;0;0
C1404;RALN;CC;043000;0;5;0;0;0;0
C1404;RALN;CC;046000;0;4;0;0;0;0
C1404;RALN;CD;050000;4;1;0;0;0;0
C1404;RALN;CD;052486;0;1;0;0;0;0
C1404;RALN;CD;0D6000;0;1;0;0;0;0
C1404;RALN;FP;0D0102;0;1;0;0;0;0
C1405;PRTN;CB;0BE000;0;0;0;0;0;1
C1405;PRTN;CC;0CE000;1;0;1;0;0;0
C1406;RALN;CA;025000;2;0;0;1;0;0
C1406;RALN;CB;054000;0;1;0;0;0;0
C1406;RALN;CC;042000;0;1;0;1;0;0
C1407;RALN;CB;034000;2;4;0;0;0;0
C1407;RALN;CC;056000;1;0;0;0;0;0
C1408;RALN;CC;046000;1;0;0;0;0;0
C1408;RALN;FP;0D0103;1;0;0;0;0;0
C1409;PRBZ;CA;000728;0;0;0;1;0;1
C1409;PRBZ;CA;000730;0;0;0;1;0;0
C1409;PRBZ;CB;000724;0;1;0;0;0;0
C1409;PRBZ;CC;000721;1;0;0;1;0;2
C1409;PRBZ;CD;000719;1;0;0;0;0;0
C1410;RALN;CB;038491;1;0;0;0;0;0
C1410;RALN;CC;045000;1;0;0;0;0;0
C1410;RALN;CD;049000;1;1;0;0;0;0
C1410;RALN;FP;0D0485;1;0;0;0;0;0
C1411;RALN;CB;037493;1;0;0;0;0;0
C1411;RALN;CB;0B7A00;0;0;0;0;0;1
C1411;RALN;CD;057000;1;0;0;0;0;0
C1412;RALN;CA;0A5000;3;0;0;0;0;0
C1412;RALN;CB;036495;1;0;0;0;0;0
C1412;RALN;CB;038491;1;1;0;0;0;0
C1412;RALN;CB;055000;3;0;0;0;0;0
C1412;RALN;CC;046000;6;4;0;0;0;0
C1412;RALN;CD;050000;1;0;0;0;0;0
C1412;RALN;CD;0D6000;0;1;0;0;0;0
C1412;RALN;FP;0D0103;1;0;0;0;0;0
C1413;RALN;CC;046000;0;1;0;0;0;0
C1413;RALN;CD;050000;2;0;0;0;0;0
C1414;RALN;CB;038490;1;1;0;0;0;0
C1414;RALN;CC;042000;1;0;0;0;0;0
C1414;RALN;CC;046000;0;1;0;0;0;0
C1415;RALN;CB;055000;1;0;0;0;0;0
C1415;RALN;CC;046000;4;2;0;0;0;0
C1415;RALN;CD;0D6000;2;0;0;0;0;0
C1416;REFR;CB;030000;1;0;0;0;0;0
C1416;REFR;CB;036000;1;0;0;0;0;0
C1416;REFR;CB;0B7000;2;0;0;0;0;0
C1416;REFR;CC;040000;0;0;0;1;0;1
C1416;REFR;CC;043000;2;1;0;0;0;1
C1647;RALN;CC;056000;1;20;0;0;0;0
C1647;RALN;CD;050000;2;3;0;0;0;0
C1647;RALN;CD;051489;8;6;0;0;0;0
C1647;RALN;CD;052487;4;4;0;0;0;0
C1647;RALN;CD;058000;1;0;0;0;0;0
C1647;RALN;DI;0D0164;1;1;0;0;0;0
C1647;RALN;FP;0D0102;0;1;0;0;0;0
C1647;RALN;SP;0D0I95;1;1;0;0;0;0
C1648;RALN;CB;055000;0;2;0;0;0;3
C1648;RALN;CC;043000;0;1;0;0;0;0
C1648;RALN;CC;046000;1;0;0;0;0;0
C1648;RALN;CD;049000;0;0;0;0;0;1
C1648;RALN;CD;051488;0;1;0;0;0;0
C1648;RALN;CD;057000;0;0;0;1;0;0
C1649;RALN;CA;0A5000;1;0;0;0;0;0
C1649;RALN;CB;038490;1;0;0;0;0;0
C1649;RALN;CC;042000;0;1;0;0;0;0
C1649;RALN;CC;045000;1;0;0;0;0;0
C1649;RALN;CC;056000;1;0;0;0;0;0
C1651;RALN;CB;036494;0;1;0;0;0;0
C1651;RALN;CC;046000;1;3;0;0;0;0
C1651;RALN;CD;0D6A00;2;1;0;0;0;0
C1652;RALN;CB;034000;1;0;0;0;0;0
C1652;RALN;CB;036495;1;0;0;0;0;0
C1652;RALN;CB;038490;2;2;0;0;0;0
C1652;RALN;CC;042000;1;0;0;0;0;0
C1652;RALN;CC;045000;0;3;0;0;0;0
C1652;RALN;CD;057000;0;2;0;0;0;0
C1653;RALN;CB;054000;0;1;0;0;0;0
C1653;RALN;CD;052487;0;1;0;0;0;0
C1654;RALN;CC;046000;3;0;0;0;0;0
C1655;RALN;CB;034000;1;0;0;0;0;0
C1655;RALN;CB;037493;3;1;0;0;0;0
C1655;RALN;CB;0B7A00;0;1;0;0;0;0
C1655;RALN;CC;045000;2;1;0;0;0;0
C1655;RALN;CC;056000;1;1;0;0;0;0
C1655;RALN;CD;0D6A00;1;0;0;0;0;0
C1656;RALN;CB;032000;0;1;0;0;0;0
C1656;RALN;CB;036495;3;1;0;0;0;0
C1656;RALN;CB;038491;1;0;0;0;0;0
C1656;RALN;CC;042000;1;0;0;0;0;0
C1656;RALN;CC;045000;1;0;0;0;0;0
C1656;RALN;CD;049000;1;0;0;0;0;0
C1657;RALN;CA;025000;1;0;0;0;0;0
C1657;RALN;CB;032000;1;0;0;0;0;0
C1657;RALN;CD;051489;1;2;0;0;0;0
C1658;RALN;CA;025000;0;1;0;0;0;0
C1658;RALN;CB;032000;14;30;0;0;0;0
C1658;RALN;CB;036495;7;4;0;0;0;0
C1658;RALN;CB;038491;1;0;0;0;0;0
C1658;RALN;CB;0B7000;2;0;0;0;0;0
C1658;RALN;CC;043000;5;3;0;0;0;0
C1658;RALN;CC;046000;8;0;0;0;0;0
C1658;RALN;CD;049000;3;3;0;0;0;0
C1658;RALN;CD;051489;11;30;0;0;0;0
C1658;RALN;CD;057000;17;24;0;0;0;0
C1658;RALN;DI;0D0164;7;0;0;0;0;0
C1658;RALN;FP;0D0102;1;0;0;0;0;0
C1659;RALN;CA;027000;0;0;0;0;1;0
C1659;RALN;CB;038490;1;0;0;0;0;0
C1659;RALN;CB;055000;0;0;0;0;0;1
C1659;RALN;CC;042000;1;0;0;0;0;0
C1659;RALN;CC;045000;0;0;1;0;0;0
C1659;RALN;CD;051488;1;1;0;0;0;0
C1660;RALN;CC;056000;0;1;0;0;0;0
C1661;RALN;CB;0B7000;1;0;0;0;0;0
C1661;RALN;CC;056000;1;0;0;0;0;0
C1662;RALN;CB;038491;0;0;0;0;0;1
C1662;RALN;CC;042000;0;1;0;0;0;0
C1662;RALN;CD;057000;0;1;0;0;0;0
C1663;RALN;CB;054000;1;0;0;0;0;0
C1664;RALN;CB;032000;1;0;0;0;0;0
C1664;RALN;CB;036495;0;0;0;1;0;0
C1664;RALN;CB;038491;1;0;0;0;0;0
C1664;RALN;CB;0B7A00;1;0;0;0;0;0
C1664;RALN;CC;046000;2;3;0;0;0;0
C1664;RALN;CD;050000;1;2;0;0;0;0
C1665;RALN;CA;027000;3;0;0;0;0;0
C1665;RALN;CB;034000;0;2;0;0;0;0
C1665;RALN;CB;037492;0;3;0;0;0;0
C1665;RALN;CC;042000;1;1;0;0;0;0
C1665;RALN;CC;056000;1;2;1;0;0;0
C1041;RALN;CD;049000;2;3;0;1;0;0
C1041;RALN;CD;051488;0;1;0;0;0;0
C1041;RALN;CD;057000;2;4;1;0;0;0
C1041;RALN;DI;0D0165;4;1;0;0;0;0
C1042;RALN;CD;050000;1;1;0;0;0;1
C1042;RALN;FP;0D0103;0;1;0;0;0;0
C1043;RALN;CB;0B7A00;1;0;0;0;0;0
C1043;RALN;CD;050000;0;1;0;0;0;0
C1044;RALN;CB;036495;3;0;0;0;0;0
C1044;RALN;CB;038491;0;0;0;1;0;0
C1044;RALN;CC;042000;0;1;0;0;0;1
C1044;RALN;CC;046000;0;1;0;0;0;0
C1044;RALN;CD;049000;1;1;0;0;0;0
C1044;RALN;CD;051488;1;0;0;0;0;0
C1044;RALN;CD;058000;0;0;0;1;0;0
C1045;RALN;CA;0A5000;0;0;1;0;0;0
C1045;RALN;CB;036494;0;1;0;0;0;0
C1045;RALN;CB;037493;2;1;0;0;0;0
C1045;RALN;CB;038491;0;1;0;0;0;0
C1045;RALN;CB;0B7A00;1;6;0;0;0;0
C1045;RALN;CC;045000;2;3;0;0;0;1
C1045;RALN;CC;056000;0;3;0;0;0;0
C1045;RALN;CD;051489;1;3;0;0;0;0
C1045;RALN;DF;0D0095;1;0;0;0;0;0
C1046;RALN;CA;028000;0;0;0;0;1;0
C1046;RALN;CB;036495;2;0;0;0;0;0
C1738;RALN;CD;049000;4;1;0;0;0;0
C1738;RALN;CD;0D6A00;0;0;0;0;0;1
C1739;RALN;CB;038490;1;0;0;0;0;0
C1739;RALN;CC;042000;0;1;0;0;0;0
C1739;RALN;FP;0D0485;0;1;0;0;0;0
C1740;RALN;CD;051489;0;1;0;0;0;0
C1741;RALN;CC;056000;0;0;0;1;0;0
C1741;RALN;DF;0D0095;0;0;1;0;0;0
C1742;RALN;CB;0B7A00;1;0;0;0;0;0
C1743;RALN;CB;034000;0;0;0;0;1;0
C1743;RALN;CD;050000;1;0;0;0;0;0
C1744;RALN;CC;043000;2;1;0;0;0;0
C1745;RALN;CA;027000;1;0;0;0;0;0
C1745;RALN;CB;036495;1;0;0;0;0;0
C1745;RALN;CB;0B7000;5;1;0;0;0;0
C1745;RALN;CC;045000;2;0;0;0;0;0
C1745;RALN;CD;052487;1;0;0;0;0;0
C1745;RALN;CD;0D6000;2;0;0;0;0;0
C1746;RALN;CA;0A5000;1;0;0;0;0;0
C1746;RALN;CB;037493;1;2;0;0;0;0
C1746;RALN;CB;054000;4;2;0;0;0;0
C1746;RALN;CB;0B7A00;2;2;0;0;0;0
C1746;RALN;CC;046000;9;22;0;0;0;0
C1746;RALN;CD;050000;0;1;0;0;0;0
C1746;RALN;CD;052486;1;0;0;0;0;0
C1746;RALN;CD;057000;1;3;0;0;1;2
C1746;RALN;CD;0D6A00;2;1;0;0;0;0
C1747;RALN;CB;038490;2;0;0;0;0;0
C1747;RALN;CC;045000;1;1;0;0;0;1
C1747;RALN;DF;0D0095;0;0;1;0;0;0
C1748;RALN;CB;037492;0;2;0;0;0;0
C1748;RALN;CC;043000;1;0;0;0;0;0
C1748;RALN;CC;056000;1;2;0;0;0;0
C1748;RALN;CD;051489;1;0;0;0;0;0
C1748;RALN;CD;057000;1;3;0;0;0;0
C1748;RALN;FP;0D0103;1;0;0;0;0;0
C1749;RALN;CB;036495;2;0;0;0;0;0
C1749;RALN;CC;043000;2;2;0;0;0;0
C1749;RALN;CC;056000;1;1;1;0;0;0
C1749;RALN;CD;051488;2;1;0;0;0;0
C1749;RALN;CD;058000;0;1;0;0;0;0
C1750;REFR;CB;034000;1;1;0;0;0;0
C1750;REFR;CC;040000;1;1;1;0;0;0
C1750;REFR;CC;043000;0;5;0;0;0;2
C1750;REFR;CC;0PL909;1;0;0;0;0;0
C1750;REFR;CD;048000;2;0;0;0;0;0
C1750;REFR;CD;051000;2;1;0;0;0;0
C1750;REFR;CD;0PL904;1;0;0;0;0;0
C1751;RALN;CC;046000;1;0;0;0;0;0
C1752;RALN;CC;056000;0;1;0;0;0;0
C1752;RALN;DF;0D0095;0;0;1;0;0;0
C1753;RALN;CB;037492;1;4;0;1;0;1
C1753;RALN;CB;055000;1;1;0;0;0;0
C1753;RALN;CC;042000;1;1;0;0;0;0
C1753;RALN;CC;045000;2;3;0;0;0;0
C1753;RALN;CC;056000;1;2;0;1;0;2
C1753;RALN;CD;050000;0;1;0;0;0;1
C1753;RALN;CD;051489;0;1;0;0;0;0
C1753;RALN;CD;057000;3;1;0;0;1;0
C1753;RALN;SP;0D0I95;0;0;1;0;0;0
C1754;RALN;CD;052487;0;1;0;0;0;0
C1755;RALN;CA;025000;1;0;0;0;0;0
C1755;RALN;CA;028000;7;0;0;0;0;0
C1755;RALN;CA;0A5000;10;1;0;0;0;0
C1755;RALN;CB;036495;2;0;0;0;0;0
C1755;RALN;CB;037493;1;1;0;0;0;0
C1755;RALN;CB;054000;3;0;0;0;0;0
C1755;RALN;CB;0B7A00;1;0;0;0;0;0
C1755;RALN;CC;043000;0;1;0;0;0;0
C1755;RALN;CC;046000;7;1;0;0;0;0
C1128;RALN;CB;036495;20;22;1;0;0;6
C1128;RALN;CB;037493;31;37;0;1;1;18
C1128;RALN;CB;038491;8;18;0;1;0;2
C1128;RALN;CB;055000;8;15;0;1;0;1
C1128;RALN;CB;0B7A00;23;26;1;2;0;12
C1128;RALN;CC;043000;38;80;2;9;0;41
C1128;RALN;CC;046000;66;109;0;9;0;25
C1128;RALN;CD;049000;9;5;0;1;0;8
C1128;RALN;CD;051488;1;3;0;0;0;0
C1128;RALN;CD;052486;4;9;1;0;0;3
C1128;RALN;CD;057000;13;23;0;0;1;5
C1128;RALN;CD;0D6000;6;2;0;0;0;1
C1128;RALN;DG;0D0097;1;0;0;0;0;0
C1128;RALN;DI;0D0165;5;1;0;0;0;0
C1692;RALN;CD;052487;0;1;0;0;0;0
C1693;RALN;CB;036494;0;1;0;0;0;0
C1693;RALN;CB;054000;1;0;0;0;0;0
C1693;RALN;CB;0B7A00;1;0;0;0;0;0
C1693;RALN;CC;045000;1;0;0;0;0;0
C1693;RALN;CC;056000;1;1;0;0;0;0
C1693;RALN;CD;051489;1;0;0;0;0;0
C1694;RALN;CB;034000;2;0;0;0;0;0
C1694;RALN;CB;037492;0;1;0;0;0;0
C1694;RALN;CC;043000;1;3;0;0;0;0
C1694;RALN;CC;046000;1;0;0;0;0;0
C1694;RALN;CD;052487;3;1;0;0;0;0
C1695;RALN;CB;034000;0;1;0;0;0;0
C1695;RALN;CC;042000;0;1;0;0;0;0
C1695;RALN;CD;049000;0;1;0;0;0;0
C1695;RALN;CD;051488;0;1;0;0;0;0
C1696;RALN;CB;034000;2;0;0;0;0;0
C1696;RALN;CB;036495;1;1;0;0;0;0
C1696;RALN;CB;038490;0;1;0;0;0;0
C1696;RALN;CC;043000;1;6;0;0;1;2
C1696;RALN;CC;056000;0;3;0;0;0;1
C1696;RALN;CD;051488;1;1;0;0;0;0
C1696;RALN;CD;052486;0;1;0;0;0;0
C1696;RALN;CD;0D6A00;1;0;0;0;0;0
C1697;RALN;CB;032000;0;2;0;0;0;1
C1697;RALN;CB;036494;1;1;0;0;0;0
C1697;RALN;CB;037492;0;1;0;0;0;0
C1697;RALN;CB;038490;1;6;0;0;0;0
C1697;RALN;CB;054000;2;3;0;9;0;1
C1697;RALN;CB;0B7A00;2;0;0;0;0;0
C1697;RALN;CC;043000;1;10;0;0;0;2
C1697;RALN;CC;046000;2;6;0;0;0;3
C1697;RALN;CD;049000;2;7;0;0;0;2
C1697;RALN;CD;051488;3;3;0;0;0;0
C1697;RALN;CD;052486;1;2;0;0;0;0
C1697;RALN;CD;058000;5;1;0;0;0;0
C1697;RALN;DF;0D0095;1;0;0;0;0;0
C1697;RALN;DI;0D0165;2;1;0;0;0;0
C1697;RALN;RP;000096;0;1;0;0;0;0
C1698;RALN;CB;0B7A00;1;0;0;0;0;0
C1698;RALN;CD;050000;1;0;0;0;0;0
C1699;RALN;CC;042000;1;0;0;0;0;0
C1699;RALN;CD;057000;1;0;0;0;0;0
C1701;RALN;CA;0A5000;3;0;0;0;0;0
C1701;RALN;CB;034000;4;2;0;0;0;1
C1701;RALN;CB;037492;1;0;0;0;0;0
C1701;RALN;CB;038490;5;1;0;0;0;0
C1701;RALN;CB;054000;2;2;0;0;0;0
C1701;RALN;CB;0B7A00;2;0;0;0;0;0
C1701;RALN;CC;043000;14;13;0;0;0;1
C1701;RALN;CC;046000;2;17;0;0;0;0
C1701;RALN;CD;049000;4;8;0;0;0;1
C1701;RALN;CD;051488;1;0;0;0;0;1
C1701;RALN;CD;052486;0;3;0;0;0;0
C1701;RALN;CD;057000;2;6;0;0;0;0
C1701;RALN;CD;0D6A00;0;4;0;0;0;0
C1701;RALN;FP;0D0102;0;1;0;0;0;0
C1702;RALN;CB;036495;0;0;0;0;1;0
C1702;RALN;CB;038491;1;1;0;0;0;0
C1702;RALN;CB;0B7A00;1;0;0;0;1;0
C10821;REFR;CD;048000;1;0;0;0;0;0
C1083;RALN;CB;037493;0;1;0;0;0;0
C1083;RALN;CC;046000;0;1;0;0;0;0
C1084;RALN;CA;053000;0;0;10;2;0;0
C1084;RALN;CB;038491;2;0;0;0;0;0
C1084;RALN;CB;055000;1;0;0;0;0;0
C1084;RALN;CC;045000;2;1;0;0;0;0
C1084;RALN;CC;056000;1;0;0;0;0;0
C1084;RALN;CD;0D6000;0;1;0;0;0;0
C1085;RALN;CA;053000;2;1;0;0;0;0
C1085;RALN;CB;036495;1;0;0;0;0;0
C1085;RALN;CC;045000;0;3;0;0;0;0
C1085;RALN;CC;056000;0;1;0;0;0;0
C1085;RALN;CD;050000;1;0;0;0;0;0
C1085;RALN;CD;0D6000;1;2;0;0;0;0
C1086;RALN;CB;038491;1;0;0;0;0;0
C1086;RALN;CC;045000;0;2;0;0;0;0
C1087;RALN;CA;025000;0;0;0;0;1;0
C1087;RALN;CB;036495;1;0;0;0;0;0
C1087;RALN;CB;038491;1;0;0;0;0;1
C1087;RALN;CB;055000;1;0;0;0;0;0
C1087;RALN;CB;0B7A00;0;1;0;0;0;0
C1087;RALN;CC;043000;0;3;0;0;0;0
C1087;RALN;CC;046000;4;2;0;0;0;2
C1087;RALN;CD;049000;0;1;0;0;0;0
C1087;RALN;CD;051489;1;0;0;0;0;0
C1087;RALN;CD;0D6000;0;0;1;0;0;0
C1087;RALN;FP;0D0103;0;1;0;0;0;0
C1088;RALN;CB;034000;1;0;0;0;0;0
C1088;RALN;CB;037492;0;0;0;0;0;1
C1088;RALN;CB;054000;0;0;0;1;0;0
C1088;RALN;CC;043000;0;1;0;0;0;1
C1088;RALN;CC;045000;0;0;0;0;0;1
C1088;RALN;CC;056000;4;2;0;1;0;1
C1088;RALN;CD;051488;0;1;0;0;0;0
C1088;RALN;CD;052487;0;1;0;0;0;0
C10889;PRTN;CB;054000;9;0;0;0;0;0
C10889;PRTN;CC;056000;11;9;0;0;0;3
C10889;PRTN;CD;057000;1;2;0;0;0;0
C1089;RALN;CA;027000;1;0;0;0;0;0
C1089;RALN;CB;037493;1;0;0;0;0;0
C1089;RALN;CC;042000;1;0;0;0;0;0
C1089;RALN;CC;045000;1;1;0;0;0;0
C1089;RALN;CD;050000;1;1;0;0;0;0
C1089;RALN;CD;058000;1;1;0;0;0;0
C1090;RALN;CB;032000;1;1;0;0;0;1
C1090;RALN;CB;037492;0;2;0;0;0;0
C1090;RALN;CB;055000;3;1;0;0;0;0
C1090;RALN;CC;043000;0;5;0;0;0;0
C1090;RALN;CC;046000;1;0;0;0;0;0
C1090;RALN;CD;049000;2;6;0;0;0;0
C1090;RALN;CD;051488;1;0;0;0;0;0
C1090;RALN;CD;057000;3;1;0;2;0;0
C1090;RALN;DI;0D0165;0;1;0;0;0;0
C1090;RALN;RP;000096;1;0;0;0;0;0
C1091;RALN;CB;0B7000;0;1;0;0;0;0
C1091;RALN;CC;043000;0;1;0;1;0;0
C1091;RALN;CC;056000;0;1;0;0;0;0
C1091;RALN;CD;050000;0;1;0;0;0;0
C1091;RALN;CD;0D6A00;1;0;0;0;0;0
C1092;RALN;CB;032000;0;0;0;1;0;0
C1092;RALN;CB;037493;3;0;0;1;0;0
C1092;RALN;CB;038491;1;0;0;0;0;0
C1092;RALN;CB;055000;1;0;0;0;0;0
C1092;RALN;CB;0B7A00;4;2;0;0;0;1
C1092;RALN;CC;043000;0;0;0;0;0;1
C1092;RALN;CC;046000;5;4;0;1;1;5
C1092;RALN;CD;050000;1;2;0;0;0;1
C1092;RALN;CD;052487;1;1;0;0;0;2
C1092;RALN;CD;0D6000;1;0;0;0;0;0
C1092;RALN;FP;0D0103;1;0;0;0;0;0
C1094;RALN;CA;0A5000;0;1;0;0;0;0
C1094;RALN;CB;037493;1;1;0;0;0;0
C1094;RALN;CB;054000;1;0;0;0;0;0
C1094;RALN;CC;042000;1;0;0;0;0;0
C1094;RALN;CC;056000;2;2;0;0;0;0
C1094;RALN;CD;057000;0;1;0;0;0;0
C1094;RALN;CD;0D6A00;1;0;0;0;0;0
C1095;RALN;CA;025000;0;1;0;0;0;0
C1095;RALN;CB;032000;5;5;0;1;0;0
C1095;RALN;CB;036495;1;3;0;0;0;1
C1183;RALN;CD;051489;1;1;0;0;0;0
C1184;REVA;CA;022000;0;5;0;0;0;1
C1184;REVA;CB;034000;2;0;0;0;0;0
C1184;REVA;CC;042000;1;6;0;0;0;1
C1185;RALN;CB;038490;1;0;0;0;0;0
C1185;RALN;CD;049000;1;0;0;0;0;0
C1185;RALN;CD;058000;0;1;0;0;0;0
C1186;RALN;CA;0A5000;3;0;0;0;0;0
C1186;RALN;CB;038490;1;0;0;0;0;0
C1186;RALN;CB;0B7000;1;0;0;0;0;0
C1186;RALN;CC;046000;1;1;0;0;0;0
C1186;RALN;CD;057000;2;1;0;0;0;0
C1187;RALN;CB;034000;1;0;0;0;0;0
C1187;RALN;CC;056000;0;4;0;0;0;0
C1187;RALN;CD;050000;1;0;0;0;0;0
C1187;RALN;CD;057000;0;2;0;0;0;0
C1188;RALN;CB;038490;1;0;0;0;0;0
C1188;RALN;CD;052487;0;0;0;0;0;1
C1189;RALN;CB;054000;0;0;0;0;1;0
C1189;RALN;CC;043000;3;0;0;0;0;0
C1189;RALN;CD;049000;1;0;0;0;0;0
C1189;RALN;FP;0D0485;0;1;0;0;0;0
C1110;RALN;CB;055000;0;0;0;0;0;1
C1110;RALN;CC;042000;1;3;0;0;0;1
C1110;RALN;CC;045000;0;0;0;0;0;1
C1110;RALN;CC;056000;2;1;0;0;0;0
C1110;RALN;CD;052487;2;1;0;0;0;0
C1111;RALN;CB;034000;0;1;0;0;0;0
C1199;RALN;CC;056000;1;0;0;0;0;0
C1199;RALN;FP;0D0485;1;0;0;0;0;0
C1200;RALN;CB;037493;1;1;0;0;0;0
C1200;RALN;CB;038491;2;1;0;0;0;0
C1200;RALN;CB;0B7A00;2;0;0;0;0;0
C1200;RALN;CC;043000;4;2;0;0;0;0
C1200;RALN;CC;046000;4;3;0;0;0;0
C1200;RALN;CD;051489;2;2;0;0;0;0
C1465;RALN;DF;0D0095;1;0;0;0;0;0
C1465;RALN;FP;0D0103;1;0;0;0;0;0
C1466;RALN;CB;038490;1;0;0;0;0;0
C1466;RALN;CC;046000;1;1;0;0;0;0
C1467;RALN;CB;038491;1;0;0;0;0;0
C1467;RALN;CC;043000;1;1;0;0;0;0
C1467;RALN;CD;057000;2;2;0;0;0;2
C1467;RALN;FP;0D0103;1;0;0;0;0;0
