ANNO;CODI_COMPARTO;DESC_COMPARTO;CODI_AGGREGATO;DESC_AGGREGATO;CODI_CONTRATTO;DESC_CONTRATTO
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;MMAA;MARINA
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCBZ;SCUOLA  P.A. BOLZANO
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CSTA;MAGISTRATURA AMMINISTRATIVA
2018;AF;COMPARTO AUTONOMO O FUORI COMPARTO;21;PRESIDENZA CONSIGLIO MINISTRI;PCMD;PRESIDENZA CONSIGLIO MINISTRI
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;GGFF;GUARDIA DI FINANZA
2018;FC;FUNZIONI CENTRALI;73;ENTI ART.70 - C.N.E.L.;CNEL;C.N.E.L.
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;EEII;ESERCITO
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPEN;POLIZIA PENITENZIARIA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;29;VIGILI DEL FUOCO;VVFF;VIGILI DEL FUOCO
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CM09;CAPPELLANI MILITARI (CM09)
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CM10;CAPPELLANI MILITARI (CM10)
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPSS;POLIZIA DI STATO
2018;IR;ISTRUZIONE E RICERCA;75;ENTI ART.70 - A.S.I.;ASSI;A.S.I.
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CCSS;CARABINIERI
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CPOR;CAPITANERIE DI PORTO
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCTN;SCUOLA  P.A. TRENTO
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;AAMM;AERONAUTICA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;13;CARRIERA DIPLOMATICA;CDIP;CARRIERA DIPLOMATICA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MGOR;MAGISTRATURA ORDINARIA
2018;AF;COMPARTO AUTONOMO O FUORI COMPARTO;76;ENTI ART.70 - UNIONCAMERE;UCAM;UNIONCAMERE
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CCON;MAGISTRATURA CONTABILE
