ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C8303;RALN;ND;CB;0;0;0;0;1;1;0;0
C5998;RALN;ND;CC;0,4;0,75;0;0;0;0;0;0
C5998;RALN;ND;CB;0;0;0;0;0,45;0;0;0
C4014;RALN;ND;CB;0;0;0;0;0,5;0;0;0
IP10304;RALN;ND;CB;0;0;0;0;0;3,42;0;0
C1712;RALN;ND;CD;0;0,22;0;0;0;0;0;0
C1712;RALN;ND;CC;0,11;0;0;0;0;0;0;0
C5329;RALN;ND;CB;0;0;0;0;1;1,26;0;0
C5329;RALN;ND;CC;0;0;1,59;1,18;0;2,12;0;0
C5329;RALN;ND;CD;0;0;0;0;0;1,72;0;0
C258;RALN;ND;CD;2;1;0;0;0;0;0;0
OL13615;EPNE;ME;AT;0;0;0;0;0;0,17;0;0
OL13615;EPNE;ME;FU;0;0;0;0;0;0,52;0;0
C1205;RALN;ND;CB;0;0;0;0;0;0;0,07;0
C4871;RALN;ND;CC;0;0,08;0;0;0;0;0;0
UC12453;RALN;ND;CC;0;0;0;0;0,32;0;0;0
PU10752;SSNA;ND;SI;89,07;137,38;0;0;0;0;0;0
PU10752;SSNA;ND;LT;60,22;41,68;0;0;0;0;0;0
PU10752;SSNA;ND;SF;0,33;4,05;0;0;0;0;0;0
PU10752;SSNA;ND;ST;20,09;19,64;0;0;0;0;0;0
C7570;RALN;ND;CC;0;0;0;0;0;1;0;0
C6273;REVA;NF;CB;0;0;0;0;1;0;0;0
C6915;RALN;ND;CB;0,7;4,72;0;0;0;0;0;0
C6915;RALN;ND;CD;0;0,04;0;0;0;0;0;0
C6915;RALN;ND;CC;0;3,58;0;0;0;0;0;0
C6703;RALN;ND;CD;0,6;0;0;0;0;0;0;0
C6703;RALN;ND;CC;0,95;0,51;0;0;0;0;0;0
C1239;RALN;ND;CC;2;0;0;0;0;0;0;0
C1255;RALN;ND;CC;0;0;1;0;0;0;0;0
UC10316;RALN;ND;CC;0,21;0,3;0;0;0;0;0;0
UC10316;RALN;ND;CB;0,28;0;0;0;0;0;0,07;0
UC10316;RALN;ND;CD;0,33;0;0;0;0;0;0;0
C2956;RALN;ND;CC;0;0;0;0;0;0,08;0;0
IP11062;PRTN;NF;CC;0;0,01;0;0;0;0;0;0
IP11062;PRTN;NF;CA;0;12,03;0;0;0,31;4,8;0,39;1,29
IP11062;PRTN;NF;CB;0;8,3;0;0;0;2,28;0;0
C5675;REFR;SC;CD;0,75;0;0;0;0;0;0;0
C5675;REFR;SC;CC;0;0;0;0;0;0,9;0;0
OL14575;EPNE;ME;FU;1;1;0;0;0;0;0;0
