ANNO;CODI_COMPARTO;DESC_COMPARTO;CODI_AGGREGATO;DESC_AGGREGATO;CODI_CONTRATTO;DESC_CONTRATTO
2013;AF;COMPARTO AUTONOMO O FUORI COMPARTO;76;ENTI ART.70 - UNIONCAMERE;UCAM;UNIONCAMERE
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;13;CARRIERA DIPLOMATICA;CDIP;CARRIERA DIPLOMATICA
2013;AF;COMPARTO AUTONOMO O FUORI COMPARTO;14;"AUTORITA' INDIPENDENTI";AUIN;"AUTORITA'' INDIPENDENTI"
2013;FC;FUNZIONI CENTRALI;15;AGENZIE FISCALI;AGFI;AGENZIE FISCALI
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REFR;CONTRATTO FRIULI VENEZIAGIULIA
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCTN;SCUOLA  P.A. TRENTO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPEN;POLIZIA PENITENZIARIA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CFOR;CORPO FORESTALE
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;31;CARRIERA PREFETTIZIA;CPRE;CARRIERA PREFETTIZIA
2013;IR;ISTRUZIONE E RICERCA;07;SCUOLA;SCLA;SCUOLA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CCON;MAGISTRATURA CONTABILE
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;CSTA;MAGISTRATURA AMMINISTRATIVA
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RETN;CONTRATTO REGIONE TRENTINO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;30;CARRIERA PENITENZIARIA;CPEN;CARRIERA PENITENZIARIA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CCSS;CARABINIERI
2013;AF;COMPARTO AUTONOMO O FUORI COMPARTO;21;PRESIDENZA CONSIGLIO MINISTRI;PCMD;PRESIDENZA CONSIGLIO MINISTRI
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;SCBZ;SCUOLA  P.A. BOLZANO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;EEII;ESERCITO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;GGFF;GUARDIA DI FINANZA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;AVST;AVVOCATURA DI STATO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;MMAA;MARINA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MGOR;MAGISTRATURA ORDINARIA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;AAMM;AERONAUTICA
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;CM09;CAPPELLANI MILITARI (CM09)
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;09;CORPI DI POLIZIA;PPSS;POLIZIA DI STATO
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;29;VIGILI DEL FUOCO;VVFF;VIGILI DEL FUOCO
2013;IR;ISTRUZIONE E RICERCA;75;ENTI ART.70 - A.S.I.;ASSI;A.S.I.
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CM10;CAPPELLANI MILITARI (CM10)
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MAMI;MAGISTRATURA MILITARE
