ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIEDO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
ER10673;RESA;CC;046000;15;12;0;0;0;1
ER10673;RESA;CB;037000;23;3;0;0;0;0
ER10673;RESA;CA;023000;0;1;0;0;0;0
ER10673;RESA;CD;0D6000;1;0;0;0;0;0
ER10673;RESA;CB;030000;15;3;0;0;0;0
ER10673;RESA;DI;0D0I97;1;0;0;0;0;0
ER10673;RESA;CA;025000;2;0;0;0;0;0
ER10673;RESA;DI;0D0164;5;2;0;0;0;0
ER10673;RESA;CD;050000;32;18;0;0;0;0
ER10673;RESA;CC;045000;5;3;0;0;0;0
ER10673;RESA;CA;028000;2;2;0;0;0;0
ER10673;RESA;CD;052000;21;20;0;0;0;2
ER10673;RESA;CC;042000;1;0;0;0;0;0
ER10673;RESA;CB;032000;2;1;0;0;0;0
ER10673;RESA;CC;040000;4;1;0;0;0;0
ER10673;RESA;CD;051000;12;7;0;0;0;0
C389;RALN;CC;0C1000;0;2;0;0;0;0
C389;RALN;CC;042000;0;1;0;0;0;0
C389;RALN;CB;034000;2;0;0;0;0;0
C389;RALN;CA;028000;0;0;0;1;0;0
C389;RALN;CC;046000;1;1;0;0;0;0
C389;RALN;CD;050000;0;1;0;0;0;0
IR9961;ERIC;D2;0D0079;1;0;0;0;0;0
IR9961;ERIC;RI;0D0093;3;14;0;0;0;2
IR9961;ERIC;RI;0D0089;1;0;0;0;0;0
IR9961;ERIC;5L;013091;1;2;0;0;0;0
IR9961;ERIC;TC;0D0398;2;1;0;0;0;0
IR9961;ERIC;TC;0D0090;1;1;0;0;0;0
IR9961;ERIC;4L;012088;0;1;0;0;0;0
IR9961;ERIC;TC;0D0094;1;0;0;0;0;0
IR9961;ERIC;6L;014087;2;1;0;0;0;0
IR9961;ERIC;D1;0D0078;1;0;0;0;0;0
IR9961;ERIC;RI;0D0397;0;5;0;0;0;0
IR9961;ERIC;6L;014088;10;22;0;0;0;0
IR9961;ERIC;7L;016087;3;7;0;0;0;1
IR9961;ERIC;8L;018092;0;1;0;0;0;0
C3955;RALN;CC;042000;0;1;0;0;0;0
C3955;RALN;CC;043000;0;1;0;0;0;0
C6370;RALN;CB;036494;1;0;0;0;0;0
C6370;RALN;CC;045000;0;1;0;0;0;0
C6370;RALN;CB;034000;0;1;0;0;0;0
C6370;RALN;CC;042000;2;0;0;0;0;0
C6370;RALN;CD;049000;1;0;0;0;0;0
C6370;RALN;CC;046000;1;0;0;0;0;0
C241;RALN;CB;055000;1;0;0;0;0;0
C241;RALN;FP;0D0103;0;1;0;0;0;0
C241;RALN;CD;0D1000;0;1;0;0;0;0
C241;RALN;CD;0D4000;0;1;0;0;0;0
C241;RALN;CD;0D5000;1;0;0;0;0;0
C241;RALN;CC;0C1000;0;2;0;0;0;0
C241;RALN;CB;054000;0;0;0;0;1;0
C241;RALN;CC;045000;0;1;0;0;0;0
OL13813;EPNE;AB;030000;0;1;0;0;0;0
U10543;SSNA;DS;SD0A12;1;2;0;0;0;0
U10543;SSNA;LA;A14005;47;23;0;0;0;0
U10543;SSNA;DS;SD0E65;3;1;0;0;0;0
U10543;SSNA;DS;SD0E12;2;4;0;0;0;0
U10543;SSNA;LT;T13059;39;2;0;0;0;0
U10543;SSNA;LA;A12017;33;32;0;0;0;0
U10543;SSNA;LT;T14S59;10;1;0;0;0;0
U10543;SSNA;DS;SD0A65;1;11;0;0;0;0
U10543;SSNA;LP;P16006;1;0;0;0;0;0
U10543;SSNA;SF;S16019;5;34;0;0;0;3
U10543;SSNA;MV;SD0A73;6;3;0;0;0;0
U10543;SSNA;DA;AD0A31;1;1;0;0;0;0
U10543;SSNA;DP;PD0A09;1;0;0;0;0;0
U10543;SSNA;DP;PD0S09;0;2;0;0;0;0
U10543;SSNA;LA;A11030;3;0;0;0;0;0
U10543;SSNA;SV;S16022;13;1;0;0;0;0
U10543;SSNA;DA;AD0S31;1;0;0;0;0;0
U10543;SSNA;DT;TD0A67;1;0;0;0;0;0
U10543;SSNA;ST;S00062;0;0;0;0;0;4
U10543;SSNA;SI;S13052;1;1;0;0;0;0
U10543;SSNA;DS;SD0E38;1;2;0;0;0;0
U10543;SSNA;SI;S14S52;5;4;0;0;0;0
U10543;SSNA;DG;0D0482;0;1;0;0;0;0
U10543;SSNA;LT;T16026;2;0;0;0;0;0
U10543;SSNA;DA;AD0032;0;4;0;0;0;0
U10543;SSNA;MD;SD0N34;3;0;0;0;0;0
U10543;SSNA;PC;000061;3;0;0;0;0;0
U10543;SSNA;LA;A13870;7;7;0;0;0;0
U10543;SSNA;MD;SD0036;17;3;0;0;0;0
U10543;SSNA;DP;PD0S45;2;0;0;0;0;0
U10543;SSNA;MD;SD0035;98;84;0;0;0;0
U10543;SSNA;LT;T11008;14;7;0;0;0;1
U10543;SSNA;DS;SD0E39;1;0;0;0;0;0
U10543;SSNA;LT;T12057;75;10;0;0;0;0
U10543;SSNA;MV;SD0E73;4;0;0;0;0;0
U10543;SSNA;DS;SD0A38;2;3;0;0;0;0
U10543;SSNA;DP;PD0046;1;0;0;0;0;0
U10543;SSNA;LA;A18869;4;9;0;0;0;0
U10543;SSNA;LT;T18867;2;3;0;0;0;0
U10543;SSNA;LA;A16028;15;14;0;0;0;0
U10543;SSNA;LT;T14007;6;0;0;0;0;0
U10543;SSNA;ST;S16021;38;44;1;0;0;0
U10543;SSNA;MD;SD0E33;13;2;0;0;0;0
U10543;SSNA;SI;S16020;197;277;1;2;1;11
U10543;SSNA;LT;T16024;1;8;0;0;0;0
U10543;SSNA;LT;T13660;62;46;0;0;0;1
U10543;SSNA;MD;SD0N33;2;0;0;0;0;0
U10543;SSNA;MD;SD0E34;39;10;0;0;0;0
U10543;SSNA;SI;S18863;19;13;0;0;0;0
C1488;RALN;CB;055000;0;0;0;0;1;0
C1488;RALN;CA;0A1000;1;0;0;0;0;0
C1488;RALN;CD;049000;0;1;0;0;0;0
C5060;RALN;CC;045000;0;1;0;0;0;0
C5060;RALN;CB;038490;1;0;0;0;0;0
C5060;RALN;CB;037493;1;0;0;0;0;0
C5060;RALN;CB;055000;1;0;0;0;0;0
C5060;RALN;CD;0D1000;1;0;0;0;0;0
C3187;RALN;CC;0C1000;6;1;0;0;0;0
C3187;RALN;CC;043000;0;2;0;0;0;0
C3187;RALN;CD;0D4000;4;0;0;0;0;0
C3187;RALN;RP;000096;3;0;0;0;0;0
C3187;RALN;CC;046000;9;7;0;0;0;0
C3187;RALN;DI;0D0165;1;0;0;0;0;0
C3187;RALN;FP;0D0102;1;0;0;0;0;0
C3187;RALN;DI;0D0164;1;1;0;0;0;0
C3187;RALN;CD;0D1000;2;5;0;0;0;0
C3187;RALN;CB;036495;4;0;0;0;0;0
C3187;RALN;CB;054000;1;1;0;0;0;0
C3187;RALN;CD;099000;1;1;1;0;0;0
C3187;RALN;CB;038491;2;1;0;0;0;0
C3187;RALN;CD;050000;2;1;0;1;0;0
C3187;RALN;CC;045000;6;6;0;0;0;1
C3187;RALN;CB;055000;2;1;0;0;0;0
C3187;RALN;CB;034000;1;0;0;0;0;0
CS10333;REFR;CA;0A6000;0;0;0;0;0;1
CS10333;REFR;CD;048000;0;3;0;0;0;0
CS10333;REFR;CB;037000;0;0;0;1;0;0
CS10333;REFR;CC;097000;0;4;0;0;0;0
CS10333;REFR;CB;0B8000;0;2;0;0;0;0
CS10333;REFR;CC;046000;3;8;0;0;0;1
CS10333;REFR;CC;040000;1;1;0;0;0;0
CS10333;REFR;CC;045000;3;12;0;0;0;5
CS10333;REFR;CD;051000;1;0;0;0;0;0
CS10333;REFR;CB;034000;0;1;0;0;0;0
CS10333;REFR;CC;043000;0;3;0;0;0;0
CS10333;REFR;DG;0D0097;1;0;0;0;0;0
C5727;RALN;CB;037492;0;1;0;0;0;0
C5727;RALN;RP;000096;0;0;0;0;0;1
C5727;RALN;CC;0C1000;1;2;0;0;0;0
C5727;RALN;CD;050000;0;1;0;0;0;0
C5727;RALN;CB;055000;0;1;0;0;0;0
C5727;RALN;CD;0D1000;3;0;0;0;0;0
C5727;RALN;CB;038490;0;1;0;0;0;0
C5727;RALN;CC;045000;0;1;0;0;0;0
C6119;RALN;CB;037493;1;0;0;0;0;0
C6119;RALN;CC;045000;0;1;0;0;0;0
C6119;RALN;CD;050000;1;0;0;0;0;0
C6119;RALN;CC;043000;1;0;0;0;0;0
C6119;RALN;CB;0B7A00;0;1;0;0;0;0
C6119;RALN;SP;0D0I95;0;0;1;0;0;0
C4958;RALN;CB;055000;0;1;0;0;0;0
C4958;RALN;CB;037493;1;0;0;0;0;0
C4958;RALN;CC;042000;0;1;0;0;0;0
C4958;RALN;CD;0D5000;1;0;0;0;0;0
C4958;RALN;CB;032000;0;0;0;1;0;0
C4958;RALN;CD;0D4000;0;2;0;0;0;0
C4958;RALN;CD;050000;1;3;0;0;0;0
C4958;RALN;CC;046000;1;0;0;0;0;0
C4958;RALN;CC;045000;0;2;0;0;0;0
RA12338;RALN;PC;000061;18;3;0;0;0;1
C2425;PRTN;CB;054000;0;0;0;0;0;2
C2425;PRTN;CB;0BE000;18;3;0;0;0;5
C2425;PRTN;CC;0CE000;6;3;0;0;0;3
C2425;PRTN;CD;057000;2;4;0;0;0;2
C2425;PRTN;CC;056000;8;5;0;0;0;5
C2425;PRTN;CA;053000;1;2;0;1;0;0
C2425;PRTN;FP;0D0105;1;0;0;0;0;0
C2360;RALN;CB;036494;1;0;0;0;0;0
C2360;RALN;CB;034000;1;0;0;0;0;0
C2360;RALN;CA;025000;1;3;0;0;0;0
C2360;RALN;CD;049000;1;0;0;0;0;0
C2360;RALN;CA;0A1000;1;0;1;0;0;0
C2360;RALN;CB;037492;2;0;0;0;0;0
C2360;RALN;FP;0D0103;0;1;0;0;0;0
C2360;RALN;CD;0D1000;1;0;1;2;0;0
C2360;RALN;CC;046000;1;0;0;0;0;0
C2360;RALN;CD;0D5000;1;0;0;0;0;0
C2360;RALN;CC;045000;2;0;0;0;0;0
C2360;RALN;CC;042000;2;0;0;0;0;0
C410;RALN;CD;0D1000;0;0;0;0;0;1
C410;RALN;CD;0D5000;1;0;0;0;0;0
C410;RALN;CA;0A5000;1;0;0;0;0;0
C410;RALN;CC;046000;4;1;0;0;0;2
C410;RALN;CC;042000;3;2;0;0;1;0
C410;RALN;CC;097000;5;1;0;0;0;1
C410;RALN;CD;0D7000;1;0;0;0;0;0
C410;RALN;CC;0C1000;1;0;0;0;0;1
C410;RALN;CC;043000;3;1;0;0;0;0
C410;RALN;CB;036494;1;0;0;0;0;0
C410;RALN;CD;049000;1;0;0;0;0;0
C410;RALN;FP;0D0103;1;0;0;0;0;0
C410;RALN;CD;0D4000;0;1;0;0;0;0
C5290;RALN;CC;045000;0;1;0;0;0;0
C5290;RALN;CD;050000;1;0;0;0;0;0
C5290;RALN;CB;037492;1;0;0;0;0;0
C5290;RALN;CB;0B8000;1;0;0;0;0;0
C5290;RALN;CC;097000;1;0;0;0;0;0
C5290;RALN;CD;0D1000;0;1;1;0;0;0
OL13804;EPNE;AB;030000;0;2;0;0;0;0
C7034;RALN;CB;037493;1;0;0;0;0;0
C7034;RALN;CB;055000;1;0;0;0;0;0
N8925;RALN;PC;000061;97;44;0;0;0;0
N8925;RALN;CB;038490;1;3;0;0;0;0
N8925;RALN;CD;050000;1;0;0;0;0;0
N8925;RALN;CB;037492;3;2;0;0;0;0
N8925;RALN;CD;0D7000;1;1;0;0;0;0
C7781;RALN;CC;042000;0;2;0;0;0;0
C7781;RALN;CD;050000;1;0;0;0;0;0
C7781;RALN;CB;036494;1;0;0;0;0;0
C7781;RALN;CC;045000;0;1;0;0;0;0
C7781;RALN;CD;0D1000;0;1;0;0;0;0
C7781;RALN;CC;0C1000;0;1;0;0;0;0
C7781;RALN;CB;055000;2;0;0;0;0;0
C4879;RALN;CD;0D5000;0;1;0;0;0;0
C4879;RALN;CB;055000;7;2;0;0;0;0
C4879;RALN;CD;049000;4;1;0;0;0;0
C4879;RALN;CB;037492;1;1;0;0;0;0
C4879;RALN;CD;0D4000;1;1;0;0;0;0
C4879;RALN;CD;050000;3;3;0;0;0;0
C4879;RALN;CC;043000;2;4;0;1;0;0
C4879;RALN;SP;0D0I95;0;0;1;0;0;0
C4879;RALN;CB;0B7A00;0;1;0;1;0;0
C4879;RALN;CA;027000;0;0;1;0;0;0
C4879;RALN;FP;0D0103;1;0;0;0;0;0
C4879;RALN;CC;042000;4;4;0;0;0;0
C4879;RALN;CC;046000;0;1;0;0;0;0
C4879;RALN;CD;0D1000;2;0;0;0;0;0
C4879;RALN;CC;0C1000;4;2;0;0;0;0
C4879;RALN;CB;036495;1;1;0;0;0;0
C4879;RALN;CB;032000;0;0;0;1;0;0
PA145;RALN;RP;000096;0;0;0;1;0;0
PA145;RALN;CD;0D5000;1;1;0;0;0;0
C4682;RALN;CD;0D5000;1;0;0;0;0;0
C4682;RALN;CB;032000;1;0;0;0;0;0
C1024;RALN;CC;0C1000;1;2;0;0;0;0
C1024;RALN;CC;045000;1;0;0;0;0;0
C1024;RALN;CB;054000;1;0;0;0;0;0
C1024;RALN;CC;043000;1;1;0;0;0;0
C1024;RALN;CC;042000;0;1;0;0;0;0
C1024;RALN;CC;046000;0;1;0;0;0;0
C5003;RALN;CC;043000;0;2;0;0;0;0
C5003;RALN;CD;049000;1;0;0;0;0;0
C5003;RALN;CC;045000;0;1;0;0;0;0
C5003;RALN;CC;0C1000;1;0;0;0;0;0
C5003;RALN;CD;0D4000;0;1;0;0;0;0
C5003;RALN;CD;050000;0;1;0;0;0;0
C4029;RALN;CC;046000;4;0;0;0;0;0
C4029;RALN;CC;0C1000;1;0;0;3;3;2
C4029;RALN;CA;0A5000;5;0;0;0;0;0
C4029;RALN;CB;054000;0;0;0;0;0;1
OL13781;EPNE;AB;032000;0;0;0;0;0;1
OL13778;EPNE;AB;034000;0;1;0;0;0;0
OL13778;EPNE;AC;040000;0;0;0;0;0;1
UC10759;RALN;CD;049000;0;2;0;0;0;0
UC10759;RALN;CD;0D1000;1;2;0;1;0;0
UC10759;RALN;CD;0D4000;0;1;0;0;0;0
UC10759;RALN;CD;050000;0;1;0;1;0;0
C1215;RALN;CC;042000;1;3;0;0;0;0
C1215;RALN;CD;0D1000;0;1;0;0;0;0
C1215;RALN;CC;045000;0;1;0;0;0;0
C1215;RALN;CC;0C1000;2;1;0;0;0;0
C1215;RALN;CA;027000;1;0;0;0;0;0
C1215;RALN;CD;050000;2;0;0;0;0;0
C1215;RALN;CB;054000;1;0;0;0;0;0
C1215;RALN;FP;0D0485;0;1;0;0;0;0
C1215;RALN;CC;043000;1;1;0;0;0;0
M8659;CCSS;US;0D0528;698;71;0;0;0;0
M8659;CCSS;US;019312;12;5;0;0;0;0
M8659;CCSS;US;019222;97;66;0;0;0;0
M8659;CCSS;UI;017225;495;16;0;0;0;0
M8659;CCSS;MR;017964;5321;8;0;0;0;0
M8659;CCSS;MR;017836;1969;1;0;0;0;0
M8659;CCSS;UI;018226;426;59;0;0;0;0
M8659;CCSS;UI;018213;287;47;0;0;0;0
M8659;CCSS;MR;017837;81;0;0;0;0;0
M8659;PRUN;RI;0D0177;5;1;0;0;0;0
M8659;CCSS;UI;018937;456;62;0;0;0;0
M8659;SCLA;SA;013159;0;1;0;0;0;0
M8659;CCSS;MR;017237;9122;8;0;0;0;0
M8659;CCSS;US;0D0936;3;5;0;0;0;0
M8659;CCSS;UG;0D0219;1;0;0;0;0;0
M8659;MNST;3A;043F04;159;86;7;0;3;13
M8659;CCSS;MR;016224;3482;334;0;0;0;0
M8659;CCSS;MR;015238;4457;632;0;0;0;0
M8659;AAMM;MT;017832;3;1;0;0;0;0
M8659;CCSS;MR;016MC0;148;0;0;0;0;0
M8659;AAMM;MT;000FR1;196;60;0;0;0;0
M8659;AAMM;MT;000FP1;817;186;0;0;0;0
M8659;CCSS;BR;015966;3167;44;0;0;0;0
M8659;SCLA;SR;016139;1;0;0;0;0;0
M8659;CCSS;BR;015965;2549;32;0;0;0;0
M8659;CCSS;MR;014324;1153;154;0;0;0;0
M8659;AAMM;UG;0D0SMD;1;0;0;0;0;0
M8659;CM10;US;0D0545;1;0;0;0;0;0
M8659;EEII;UG;0D0SGD;2;0;0;0;0;0
M8659;CM10;US;0D0546;17;0;0;0;0;0
M8659;CM10;US;0D0969;1;0;0;0;0;0
M8659;AAMM;AV;000SCM;72;52;0;0;0;0
M8659;CM10;UG;0D0359;1;0;0;0;0;0
M8659;MNST;3A;044F05;130;167;6;2;1;15
M8659;CCSS;BR;015212;993;44;0;0;0;0
M8659;AAMM;AV;000180;325;95;0;0;0;0
M8659;CM10;UG;0D0292;1;0;0;0;0;0
M8659;CCSS;PP;013210;6826;425;0;0;0;0
M8659;EEII;AV;000180;503;90;0;0;0;0
M8659;MMAA;GR;013353;213;40;0;0;0;0
M8659;EEII;AV;000SCM;314;145;0;0;0;0
M8659;MMAA;MT;000FP4;963;162;0;0;0;0
M8659;EEII;MT;014833;1;0;0;0;0;0
M8659;EEII;MT;000FP1;7232;1358;0;0;0;0
M8659;MMAA;GR;013352;1337;213;0;0;0;0
M8659;CCSS;AV;000180;3432;509;0;0;0;0
M8659;EEII;MT;000FR1;7150;1051;0;0;0;0
M8659;EEII;MT;017832;34;6;0;0;0;0
M8659;AAMM;GR;013301;758;154;0;0;0;0
M8659;CCSS;PP;013968;5794;61;0;0;0;0
M8659;AAMM;MT;000FP4;911;272;0;0;0;0
M8659;CCSS;PP;013231;7720;343;0;0;0;0
M8659;CCSS;PP;013967;21151;117;0;0;0;0
M8659;CCSS;BR;014230;6117;108;0;0;0;0
M8659;AAMM;MT;013946;6;4;0;0;0;0
M8659;AAMM;GR;013294;878;190;0;0;0;0
M8659;CCSS;PP;013214;10773;1610;0;0;0;0
M8659;CCSS;BR;014211;2292;28;0;0;0;0
M8659;CCSS;PP;013216;3568;404;0;0;0;0
M8659;CM10;US;0D0549;13;0;0;0;0;0
M8659;EEII;UG;0D0323;41;0;0;0;0;0
M8659;EEII;UI;018937;1170;89;0;0;0;0
M8659;EEII;US;019222;3;0;0;0;0;0
M8659;EEII;UI;018213;451;46;0;0;0;0
M8659;EEII;UI;018226;991;108;0;0;0;0
M8659;EEII;US;0D0936;0;1;0;0;0;0
M8659;EEII;US;0D0527;123;0;0;0;0;0
M8659;EEII;SG;014325;3582;105;0;0;0;0
M8659;EEII;UI;017225;382;78;0;0;0;0
M8659;EEII;US;0D0528;2021;109;0;0;0;0
M8659;EEII;SG;015326;210;0;0;0;0;0
M8659;EEII;MR;017938;2505;0;0;0;0;0
M8659;EEII;MR;014324;740;96;0;0;0;0
M8659;EEII;SG;015939;1435;0;0;0;0;0
M8659;EEII;MR;015238;876;38;0;0;0;0
M8659;EEII;MR;016224;1225;19;0;0;0;0
M8659;EEII;MR;016MC0;158;0;0;0;0;0
M8659;EEII;MR;017834;1424;0;0;0;0;0
M8659;EEII;MR;017830;1755;1;0;0;0;0
M8659;MNST;D1;0D0CDP;1;0;0;0;0;0
M8659;EEII;SG;015943;1953;0;0;0;0;0
M8659;EEII;MR;017556;2691;1;0;0;0;0
M8659;MNST;D2;0D0079;38;33;0;0;0;0
M8659;SCLA;DO;016132;24;41;0;0;0;0
M8659;SCLA;DO;016135;1;1;0;0;0;0
M8659;SCLA;SD;0D0158;1;0;0;0;0;0
M8659;MNST;3A;044F06;24;24;1;0;0;0
M8659;EEII;UG;0D0328;16;0;0;0;0;0
M8659;CM10;UI;018281;23;0;0;0;0;0
M8659;CM10;UI;018284;7;0;0;0;0;0
M8659;MNST;3A;042F03;460;439;18;17;6;48
M8659;SCLA;DO;014143;1;0;0;0;0;0
M8659;SCLA;SN;016134;2;7;0;0;0;0
M8659;MNST;3A;044F07;5;9;0;0;0;0
M8659;EEII;US;0D0935;700;10;0;0;0;0
M8659;MNST;D1;0D0077;2;6;0;0;0;0
M8659;EEII;US;0D0525;3541;0;0;0;0;0
M8659;EEII;GR;013940;5895;0;0;0;0;0
M8659;EEII;US;0D0526;4;2;0;0;0;0
M8659;EEII;US;0D0217;5;0;0;0;0;0
M8659;MNST;D2;0D0080;0;3;0;0;0;0
M8659;EEII;UG;0D0317;142;0;0;0;0;0
M8659;EEII;SG;014308;1466;69;0;0;0;0
M8659;EEII;US;0D0524;1154;0;0;0;0;0
M8659;CM10;UI;018971;23;0;0;0;0;0
M8659;AAMM;MT;014833;41;19;0;0;0;0
M8659;AAMM;MR;015306;477;104;0;0;0;0
M8659;AAMM;MR;016305;1003;65;0;0;0;0
M8659;MMAA;UG;0D0339;18;0;0;0;0;0
M8659;AAMM;MR;014307;322;63;0;0;0;0
M8659;AAMM;MR;017MC0;260;0;0;0;0;0
M8659;AAMM;MR;017834;1792;0;0;0;0;0
M8659;MMAA;UG;0D0SGD;1;0;0;0;0;0
M8659;MMAA;UG;0D0334;56;0;0;0;0;0
M8659;AAMM;MR;017556;9187;0;0;0;0;0
M8659;MMAA;UG;0D0340;9;0;0;0;0;0
M8659;AAMM;SG;015939;1091;0;0;0;0;0
M8659;MMAA;US;0D0563;846;0;0;0;0;0
M8659;MNST;PC;000061;1049;260;6;2;5;21
M8659;MMAA;US;0D0956;326;10;0;0;0;0
M8659;MMAA;US;0D0564;11;5;0;0;0;0
M8659;SCLA;SL;016133;3;3;0;0;0;0
M8659;MMAA;GR;013351;1649;94;0;0;0;0
M8659;AAMM;SG;015943;1678;0;0;0;0;0
M8659;AAMM;MR;017830;3107;1;0;0;0;0
M8659;AAMM;SG;015326;56;0;0;0;0;0
M8659;MMAA;US;0D0345;3;0;0;0;0;0
M8659;AAMM;UI;018937;532;68;0;0;0;0
M8659;AAMM;US;0D0935;545;22;0;0;0;0
M8659;AAMM;US;0D0525;1841;0;0;0;0;0
M8659;MMAA;MT;000FP1;527;132;0;0;0;0
M8659;AAMM;US;0D0526;16;13;0;0;0;0
M8659;AAMM;US;0D0524;564;0;0;0;0;0
M8659;AAMM;UG;0D0298;8;0;0;0;0;0
M8659;AAMM;UG;0D0SGD;1;0;0;0;0;0
M8659;AAMM;US;0D0527;7;0;0;0;0;0
M8659;AAMM;UG;0D0297;20;0;0;0;0;0
M8659;AAMM;UG;0D0220;60;0;0;0;0;0
M8659;AAMM;US;0D0528;926;50;0;0;0;0
M8659;AAMM;UI;017225;342;103;0;0;0;0
M8659;AAMM;UI;018226;437;106;0;0;0;0
M8659;AAMM;UI;018213;184;27;0;0;0;0
M8659;PRUN;PR;0D0175;0;1;0;0;0;0
M8659;MMAA;AV;000SCM;125;59;0;0;0;0
M8659;MMAA;AV;000180;245;84;0;0;0;0
M8659;MMAA;MT;017832;11;12;0;0;0;0
M8659;MMAA;MT;000FR1;782;236;0;0;0;0
M8659;AAMM;MR;017938;3540;0;0;0;0;0
M8659;MMAA;MT;014833;10;0;0;0;0;0
M8659;MMAA;US;0D0566;50;0;0;0;0;0
M8659;MMAA;US;0D0562;471;0;0;0;0;0
M8659;MNST;2A;035F06;88;12;1;1;3;1
M8659;MNST;2A;035F05;900;588;12;9;8;81
M8659;EEII;GR;013941;8948;0;0;0;0;0
M8659;MNST;3A;040F01;119;19;0;1;0;1
M8659;MNST;2A;035F04;4486;1758;33;17;39;230
M8659;MMAA;SG;015350;225;0;0;0;0;0
M8659;MMAA;SG;015960;1368;0;0;0;0;0
M8659;EEII;GR;013319;5939;319;0;0;0;0
M8659;MNST;2A;032F02;1094;175;11;0;12;24
M8659;MNST;1A;024F02;1;1;0;0;0;0
M8659;EEII;GR;013318;7065;652;0;0;0;0
M8659;EEII;MT;000FP4;3203;424;0;0;0;0
M8659;MMAA;GR;013961;492;0;0;0;0;0
M8659;EEII;MT;013942;2894;454;0;0;0;0
M8659;MMAA;GR;013962;1462;0;0;0;0;0
M8659;MMAA;GR;013337;1787;26;0;0;0;0
M8659;MMAA;SG;014308;415;14;0;0;0;0
M8659;MMAA;SG;014349;843;5;0;0;0;0
M8659;EEII;GR;013320;7985;1808;0;0;0;0
M8659;MNST;2A;030F01;58;15;0;2;1;0
M8659;MNST;3A;041F02;299;215;8;6;5;27
M8659;EEII;GR;013321;3006;620;0;0;0;0
M8659;MNST;2A;034F03;8206;2495;84;28;88;379
