"Istituzione","Contratto","Categoria","Qualifica","Trattamento Iniziale Uomini","Fascia1_Uomini","Fascia2_Uomini","Fascia3_Uomini","Fascia4_Uomini","Fascia5_Uomini","Fascia6_Uomini","Trattamento Iniziale Donne","Fascia1_Donne","Fascia2_Donne","Fascia3_Donne","Fascia4_Donne","Fascia5_Donne","Fascia6_Donne"
"U9546","SSNA","LA","A12017","2","0","1","1","0","0","0","11","9","2","4","0","0","0"
"U9476","SSNA","SI","S18023","0","1","4","2","6","0","1","0","1","13","20","36","0","1"
"U9476","SSNA","SI","S16020","34","61","24","23","14","18","0","148","284","122","146","200","217","3"
"U9476","SSNA","SI","S14E52","0","0","0","0","1","0","0","0","0","0","2","5","0","0"
"U9476","SSNA","SI","S13052","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"U9476","SSNA","ST","S18920","0","0","0","1","0","0","0","0","0","1","0","1","0","0"
"U9476","SSNA","ST","S16021","10","5","7","3","3","3","0","20","15","7","7","11","14","0"
"U9476","SSNA","SV","S18921","0","0","3","7","6","0","0","0","0","1","6","9","0","0"
"U9476","SSNA","SV","S16022","7","6","7","2","15","6","0","12","3","0","3","14","13","0"
"U9476","SSNA","SF","S18922","1","0","1","2","3","0","0","0","0","0","1","5","1","0"
"U9476","SSNA","SF","S16019","6","6","2","2","7","6","0","53","52","20","24","31","34","0"
"U9476","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","2","0","3","0","0"
"U9476","SSNA","LT","T16024","0","0","0","0","0","1","0","9","12","4","3","3","5","0"
"U9476","SSNA","LT","T16026","2","2","4","7","0","0","0","3","1","2","4","1","0","0"
"U9476","SSNA","LT","T14007","2","2","2","2","5","1","0","0","0","0","0","1","0","0"
"U9476","SSNA","LT","T14063","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U9476","SSNA","LT","T14E59","0","3","5","4","2","0","0","0","0","0","0","0","0","0"
"U9476","SSNA","LT","T13059","9","2","7","7","13","4","0","0","0","16","21","18","2","0"
"U9476","SSNA","LT","T13660","16","13","5","3","1","0","0","87","98","33","20","12","0","0"
"U9476","SSNA","LT","T12057","10","6","4","3","2","1","0","9","12","18","8","3","0","0"
"U9476","SSNA","LT","T12058","0","1","1","0","0","0","0","0","13","4","1","0","0","0"
"U9476","SSNA","LT","T11008","0","3","0","0","0","0","0","0","1","0","0","1","1","0"
"U9476","SSNA","LA","A18029","0","0","1","4","1","0","0","0","2","2","2","5","1","4"
"U9476","SSNA","LA","A16028","5","1","1","2","1","0","0","30","13","14","20","28","2","0"
"U9476","SSNA","LA","A14005","8","5","1","2","2","2","0","62","22","14","22","36","16","0"
"U9476","SSNA","LA","A13018","0","1","2","2","1","1","0","0","9","17","23","23","0","0"
"U9476","SSNA","LA","A12017","11","4","1","0","0","0","0","9","19","1","6","2","0","0"
"U9478","SSNA","SI","S18023","0","0","1","0","1","2","1","0","1","0","3","15","13","2"
"U9478","SSNA","SI","S16020","86","25","26","13","10","24","0","267","142","135","51","92","167","4"
"U9478","SSNA","SI","S14E52","0","0","0","0","0","1","0","0","0","0","1","0","6","0"
"U9478","SSNA","ST","S18920","0","0","0","1","0","0","0","0","0","2","1","4","2","0"
"U9478","SSNA","ST","S16021","12","8","2","3","3","5","0","32","27","20","12","14","36","0"
"U9478","SSNA","SV","S18921","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"U9478","SSNA","SV","S16022","1","0","0","0","0","0","0","0","0","0","1","0","3","0"
"U9478","SSNA","SF","S18922","0","0","0","0","0","0","0","0","0","0","0","2","1","0"
"U9478","SSNA","SF","S16019","0","0","0","0","1","0","0","2","2","1","1","1","1","0"
"U9478","SSNA","LT","T18027","0","2","1","1","1","0","0","1","0","1","0","1","0","0"
"U9478","SSNA","LT","T16026","1","2","8","2","1","4","0","1","0","1","0","1","1","0"
"U9478","SSNA","LT","T14007","3","2","2","0","4","0","0","0","1","1","2","5","0","0"
"U9478","SSNA","LT","T14063","9","0","0","0","0","0","0","6","0","0","0","0","0","0"
"U9478","SSNA","LT","T14E59","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"U9478","SSNA","LT","T13059","0","1","1","0","3","1","0","0","1","2","2","5","0","0"
"U9478","SSNA","LT","T13660","25","5","2","0","0","0","0","77","26","23","6","6","0","0"
"U9478","SSNA","LT","T12057","1","5","1","6","0","2","0","6","2","2","4","21","4","0"
"U9478","SSNA","LT","T12058","0","1","0","0","0","0","0","0","0","1","1","0","0","0"
"U9478","SSNA","LT","T11008","1","0","0","0","0","1","0","5","1","0","0","0","0","0"
"U9478","SSNA","LA","A18029","1","0","1","0","0","2","0","0","0","2","1","3","4","3"
"U9478","SSNA","LA","A16028","2","0","2","0","0","0","0","1","1","7","2","13","2","0"
"U9478","SSNA","LA","A14005","4","4","3","3","7","0","0","6","12","21","14","28","7","0"
"U9478","SSNA","LA","A13018","1","2","1","0","2","0","0","3","6","4","5","25","0","0"
"U9478","SSNA","LA","A12017","1","0","0","0","0","0","0","2","2","1","1","0","1","0"
"U9477","SSNA","SI","S18023","0","1","2","1","11","1","0","5","4","4","11","83","19","0"
"U9477","SSNA","SI","S16020","156","72","70","27","123","4","0","452","380","265","79","743","37","1"
"U9477","SSNA","SI","S14E52","0","0","0","0","3","0","0","0","0","0","0","11","0","0"
"U9477","SSNA","ST","S18920","0","2","1","0","3","0","0","0","0","0","2","10","0","0"
"U9477","SSNA","ST","S16021","21","7","3","5","17","0","0","74","23","28","12","76","1","0"
"U9477","SSNA","SV","S18921","0","0","0","1","12","6","0","0","1","0","0","16","3","0"
"U9477","SSNA","SV","S16022","3","8","6","1","23","0","0","8","4","4","4","32","4","1"
"U9477","SSNA","SF","S18922","0","0","0","0","1","0","0","0","0","0","0","15","0","0"
"U9477","SSNA","SF","S16019","9","4","1","1","15","6","0","71","26","21","14","57","17","0"
"U9477","SSNA","SF","S14053","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"U9477","SSNA","LP","P16006","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U9477","SSNA","LT","T18025","0","0","0","0","0","0","0","0","0","0","0","5","0","0"
"U9477","SSNA","LT","T16024","1","0","0","1","0","0","0","0","0","2","1","8","0","0"
"U9477","SSNA","LT","T18027","0","0","0","0","2","0","0","0","0","1","0","1","0","0"
"U9477","SSNA","LT","T16026","3","3","7","1","7","0","0","2","4","2","0","5","0","0"
"U9477","SSNA","LT","T14007","3","3","3","0","0","0","0","3","2","0","0","2","0","0"
"U9477","SSNA","LT","T14063","3","1","1","0","5","0","0","0","1","0","0","1","0","0"
"U9477","SSNA","LT","T14E59","13","13","12","2","38","0","0","2","1","0","1","10","0","0"
"U9477","SSNA","LT","T13059","38","2","1","4","3","1","0","8","1","3","4","12","0","0"
"U9477","SSNA","LT","T13660","31","7","4","1","1","0","0","202","75","32","5","49","2","0"
"U9477","SSNA","LT","T12057","16","8","4","0","6","0","0","11","16","11","2","42","0","0"
"U9477","SSNA","LT","T12058","0","0","2","0","1","0","0","0","2","1","0","4","0","0"
"U9477","SSNA","LA","A18029","0","0","3","0","4","0","0","1","4","2","4","21","5","0"
"U9477","SSNA","LA","A16028","4","1","1","0","5","0","0","19","13","3","1","63","0","0"
"U9477","SSNA","LA","A14005","6","4","6","1","21","0","0","33","32","18","9","115","0","0"
"U9477","SSNA","LA","A13018","3","4","0","0","4","0","0","13","9","3","1","18","0","0"
"U9477","SSNA","LA","A12017","4","2","1","0","1","0","0","10","3","2","0","10","0","0"
"U9477","SSNA","LA","A11030","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U9515","SSNA","SI","S18023","0","0","2","0","1","2","7","0","0","0","2","0","2","4"
"U9515","SSNA","SI","S16020","23","21","9","6","24","19","122","47","33","18","17","84","52","142"
"U9515","SSNA","SI","S14E52","0","0","0","1","6","0","0","0","0","0","0","20","0","0"
"U9515","SSNA","ST","S18920","0","0","0","0","0","1","0","0","1","0","1","0","0","2"
"U9515","SSNA","ST","S16021","9","3","0","4","8","5","25","7","4","3","5","4","4","24"
"U9515","SSNA","SF","S18922","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"U9515","SSNA","SF","S16019","0","0","1","0","0","0","1","0","0","0","1","1","0","4"
"U9515","SSNA","LT","T16024","0","0","0","0","0","0","1","0","1","0","0","0","0","5"
"U9515","SSNA","LT","T18027","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"U9515","SSNA","LT","T16026","0","5","2","0","1","0","0","1","1","0","0","0","0","0"
"U9515","SSNA","LT","T14007","3","0","1","3","0","0","0","0","0","0","0","0","0","0"
"U9515","SSNA","LT","T14E59","2","1","0","4","6","0","0","0","0","0","0","0","0","0"
"U9515","SSNA","LT","T13059","2","3","3","2","1","3","0","0","0","0","0","0","0","0"
"U9515","SSNA","LT","T13660","12","3","7","32","1","3","0","13","0","3","9","1","8","0"
"U9515","SSNA","LT","T12057","4","7","1","0","1","2","0","3","2","0","0","0","0","0"
"U9515","SSNA","LT","T12058","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"U9515","SSNA","LT","T11008","0","0","0","0","1","2","0","0","0","0","0","0","3","0"
"U9515","SSNA","LA","A18029","0","0","0","1","2","0","0","0","0","3","1","1","0","2"
"U9515","SSNA","LA","A16028","0","10","1","5","3","1","0","0","32","2","6","4","6","2"
"U9515","SSNA","LA","A14005","0","2","2","6","1","2","0","0","4","2","2","1","8","0"
"U9515","SSNA","LA","A13018","0","0","0","2","0","1","0","0","0","1","1","0","0","0"
"U9515","SSNA","LA","A12017","0","3","1","5","0","0","0","1","1","0","3","0","0","0"
"U9515","SSNA","LA","A11030","2","0","0","0","0","0","0","3","1","0","0","0","0","0"
"U10524","SSNA","SI","S18023","4","10","13","15","7","0","0","6","4","17","11","8","1","0"
"U10524","SSNA","SI","S16020","66","74","73","148","171","60","2","128","159","122","246","210","63","4"
"U10524","SSNA","SI","S14E52","1","15","1","0","0","0","0","3","27","4","0","0","0","0"
"U10524","SSNA","SI","S13052","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U10524","SSNA","ST","S18920","0","0","0","9","0","0","0","0","0","0","1","0","0","0"
"U10524","SSNA","ST","S16021","8","10","6","35","9","1","0","16","9","10","23","14","2","0"
"U10524","SSNA","ST","S00062","1","0","0","2","3","0","3","2","0","0","1","0","10","27"
"U10524","SSNA","SV","S18921","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U10524","SSNA","SV","S16022","0","3","3","27","13","1","0","0","0","0","3","1","0","0"
"U10524","SSNA","SF","S18922","2","0","0","0","0","0","0","1","10","1","1","0","0","0"
"U10524","SSNA","SF","S16019","11","7","0","2","6","1","0","60","18","7","29","11","1","1"
"U10524","SSNA","SF","S14E51","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"U10524","SSNA","SF","S13051","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"U10524","SSNA","LP","P16006","6","1","0","0","0","0","0","0","0","0","0","0","0","0"
"U10524","SSNA","LT","T18025","0","0","1","0","0","0","0","2","3","5","1","0","3","0"
"U10524","SSNA","LT","T16024","0","0","0","4","0","0","4","6","2","0","38","18","1","73"
"U10524","SSNA","LT","T16026","2","0","2","1","0","0","0","3","0","2","0","0","0","0"
"U10524","SSNA","LT","T14007","4","9","0","9","0","0","0","3","1","0","4","0","1","0"
"U10524","SSNA","LT","T14063","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"U10524","SSNA","LT","T14E59","34","54","9","2","0","0","0","0","8","0","0","0","0","0"
