"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"C1078","RALN","ND","CA","2,17","0","0","0","0","0","0","0"
"C1083","RALN","ND","CA","2","2","0","0","0","0","0","0"
"C1085","RALN","ND","CA","2","2","0","0","0","0","0","0"
"C1086","RALN","ND","CA","0","0","0","0","0","0","0,75","0"
"C1088","RALN","ND","CA","0","0","0","0","0","0","4,31","3,94"
"C1093","RALN","ND","CA","0","0","0","0","0","0","0,22","0"
"C1110","RALN","ND","CA","0","0","0","0","0","0","0,67","0,55"
"C1121","PRBZ","ND","CA","1","0","0","0","0","0","0,78","0"
"C1128","RALN","ND","CA","0","0","0","0","0,03","0,14","0","0"
"C1131","PRBZ","ND","CA","0,12","4,08","0","0","0","0","2,94","0,34"
"C1140","RALN","ND","CA","0","0","0","0","0","0","1,11","0"
"C1160","RALN","ND","CA","6,5","6","0","0","0","0","0","11,2"
"C1177","PRBZ","ND","CA","0","0","0","0","0","0","2,7","0"
"C1181","RALN","ND","CA","0","0","0","0","0","0","8,98","3,99"
"C1186","RALN","ND","CA","2,89","3,61","0","0","0","0","0","0"
"C1189","RALN","ND","CA","0","1,33","0","0","0","0","0","0"
"C1190","RALN","ND","CA","0","0","0","0","0","0","0,19","0"
"C1192","RALN","ND","CA","0","0","0","0","0","0","1,1","0"
"C1202","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1213","RALN","ND","CA","0","0","0","0","0","0","0","5"
"C1216","RALN","ND","CA","2,22","0","0","0","0","0","0","0"
"C1228","RALN","ND","CA","0","7","0","0","0","0","0","0"
"C1249","RALN","ND","CA","0","1","0","0","0","0","1","10"
"C1260","RALN","ND","CA","0","0","0","0","0","0","0","1,05"
"C1270","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C1278","RALN","ND","CA","0","0","0","0","0","0","13","3"
"C1279","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1282","RALN","ND","CA","4","4","0","0","0","0","0","0"
"C1290","RALN","ND","CA","0","0","0","0","0","0","1,11","2,22"
"C1302","PRBZ","ND","CA","0","0","0","0","0","0","1","0,1"
"C1305","PRTN","ND","CA","0,5","0","0","0","0","0","0","0"
"C1315","RALN","ND","CA","0","0","0","0","0","0","20","0"
"C1319","PRTN","ND","CA","0","0,51","0","0","0","0","0","0"
"C1323","RALN","ND","CA","0","0","0","0","0","0","3","8"
"C1324","RALN","ND","CA","0,56","0,68","0","0","0","0","9,18","2,04"
"C1325","RALN","ND","CA","4,66","2","0","0","0","0","0","0"
"C1327","RALN","ND","CA","1,11","2,22","0","0","0","0","0","0"
"C1330","RALN","ND","CA","0","0","0","0","0","0","0","0,44"
"C1333","RALN","ND","CA","0","0","0","0","0","0","3,5","1,29"
"C1346","RALN","ND","CA","0","0","0","0","0","0","9","1"
"C1351","RALN","ND","CA","2,72","1,36","0","0","0","0","0","0"
"C1359","RALN","ND","CA","0","0","0","0","0","0","0,43","0"
"C1366","RALN","ND","CA","0","0","0","0","0","0","3","0"
"C1368","RALN","ND","CA","0,72","0","0","0","0","0","0","0"
"C1373","RALN","ND","CA","9","4","0","0","0","0","1","1"
"C1377","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C1384","RALN","ND","CA","1,44","1,44","0","0","0","0","0","0"
"C1389","RALN","ND","CA","0,13","0","0","0","0","0","2,24","0"
"C1392","RALN","ND","CA","0,34","0,34","0","0","0","0","0","0"
"C1397","PRTN","ND","CA","0","0,31","0","0","0","0","0","0"
"C1399","RALN","ND","CA","0,72","2,17","0","0","0","0","0","0"
"C1409","PRBZ","ND","CA","0","0,43","0","0","0","0","0,7","0"
"C1445","PRBZ","ND","CA","0,08","0,49","0","0","0","0","1,76","0"
"C1401","RALN","ND","CA","2,67","0","0","0","0","0","0,88","0"
"C1412","RALN","ND","CA","0","0","0","0","0","0","1,7","0,05"
"C1415","RALN","ND","CA","1,36","0","0","0","0","0","0","0"
"C1417","RALN","ND","CA","6","6","0","0","0","0","0","0"
"C1434","RALN","ND","CA","4,66","14","0","0","0","0","0","0"
"C1439","RALN","ND","CA","0","0","0","0","0","0","0,73","0,4"
"C1441","RALN","ND","CA","0","0","0","0","0","0","5","0"
"C1453","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1461","RALN","ND","CA","0","0","0","0","0","0","6","1"
"C1471","RALN","ND","CA","2,1","5,05","0","0","0","0","0","0"
"C1474","RALN","ND","CA","0","0","0","0","0","0","1,33","0"
"C1475","RALN","ND","CA","5","8","0","0","0","0","0","0"
"C1476","RALN","ND","CA","0","0","0","0","0","0","1,12","0"
"C1483","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C1490","RALN","ND","CA","0","0","0","0","0","0","0","0,55"
"C1494","RALN","ND","CA","0","0","0","0","0","0","0","0,55"
"C1503","RALN","ND","CA","0","0","0","0","0","0","1,12","0,56"
"C1507","RALN","ND","CA","0","2,97","0","0","0","0","0","0"
"C1515","RALN","ND","CA","5","5","0","0","0","0","0","0"
"C1518","RALN","ND","CA","2,03","0","0","0","0","0","0","0"
"C1523","RALN","ND","CA","6,33","4","0","0","0","0","0,91","5,2"
"C1533","RALN","ND","CA","0","0","0","0","0","0","0,3","0,31"
"C1536","RALN","ND","CA","0","0","0","0","0","0","1,24","1,11"
"C1549","RALN","ND","CA","0","0","0","0","0","0","5,19","2,24"
"C1551","PRTN","ND","CA","0","1","0","0","0","0","0","0"
"C1567","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1570","RALN","ND","CA","0","0","0","0","0","0","1,34","0"
"C1593","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1597","RALN","ND","CA","2,89","0,72","0","0","0","0","0","0"
"C1598","RALN","ND","CA","0","0","0","0","0,6","0","0,72","0"
"C1599","RALN","ND","CA","0","0","0","0","0","0","40","3"
"C1604","RALN","ND","CA","7,94","0,72","0","0","0","0","0","0"
"C1614","RALN","ND","CA","0","0","0","0","0","0","1,43","0"
"C1615","RALN","ND","CA","0,37","0,74","0","0","0","0","20,13","10,56"
"C1624","RALN","ND","CA","1","0","0","0","0","0","1","0"
"C1633","RALN","ND","CA","1,44","2,17","0","0","0","0","0","0"
"C1642","RALN","ND","CA","0,72","2,17","0","0","0","0","0","0"
"C1645","RALN","ND","CA","0","0","0","0","0","0","2,81","0"
"C1652","RALN","ND","CA","0","0","0","0","0","0","0,15","0"
"C1654","RALN","ND","CA","0","0","0","0","0","0","0,2","0,65"
"C1659","RALN","ND","CA","0","0","0","0","0","0","0,19","0,35"
"C1666","RALN","ND","CA","0","0","0","0","0","0","3,17","0"
"C1669","RALN","ND","CA","0","0,15","0","0","0","0","0","0"
"C1678","RALN","ND","CA","0","0","0","0","0","0","0,67","0,23"
"C1712","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1714","RALN","ND","CA","0","0,04","0","0","0","0","0","0"
"C1721","RALN","ND","CA","0","0","0","0","0","0","10","6"
"C1729","RALN","ND","CA","0","0","0","0","0","0","20,68","7,2"
"C1731","RALN","ND","CA","3,24","2,67","0","0","0","0","0","0,5"
"C1738","RALN","ND","CA","0","0","0","0","0","0","4","1"
"C1746","RALN","ND","CA","0","0","0","0","0","0","0","1,73"
"C1755","RALN","ND","CA","0","0","0","0","0","0","5","0"
"C1772","RALN","ND","CA","2","5","0","0","0","0","0","0"
"C1781","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1783","RALN","ND","CA","2","7","0","0","0","0","0","0"
"C1786","RALN","ND","CA","0","0","0","0","0","0","0,5","0"
"C1788","RALN","ND","CA","0","0","0","0","0","0","0,55","0"
"C1797","RALN","ND","CA","19","27","0","0","0","0","0","0"
"C1799","RALN","ND","CA","0","0","0","0","0","0","2,07","1,5"
"C1808","RALN","ND","CA","0","0","0","0","0","0","0,25","0"
"C1827","RALN","ND","CA","0","0","0","0","0","0","1,69","0"
"C1834","RALN","ND","CA","0","0,2","0","0","0","0","0","0"
"C1856","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C1858","RALN","ND","CA","3,68","2,01","0","0","0","0","0","1,65"
"C1875","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C12485","PRTN","ND","CA","0","1,42","0","0","0","0","0","0"
"C2000","RALN","ND","CA","0,23","0","0","0","0","0,14","0","0"
"C1837","RALN","ND","CA","1","1,08","0","0","0","0","0","0"
"C1843","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1865","PRTN","ND","CA","0","0,44","0","0","0","0","0","0"
"C1869","RALN","ND","CA","0","0","0","0","0","1,2","0","0"
"C1881","RALN","ND","CA","1,02","0","0","0","0","0","0","4"
"C1890","RALN","ND","CA","0,46","0","0","0","0","0","0","2,15"
"C1893","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C1894","RALN","ND","CA","0","0","0","0","0,08","0","0","0"
"C1896","RALN","ND","CA","0","0","0","0","0","0","4,6","0,67"
"C1926","RALN","ND","CA","1,32","0","0","0","0","0","0","0"
"C1933","RALN","ND","CA","0","0","0","0","0","0","7","5"
"C1937","PRTN","ND","CA","0","0,34","0","0","0","0","0","0"
"C1934","PRTN","ND","CA","0","0,39","0","0","0","0","0","0"
"C1940","RALN","ND","CA","0","0","0","0","1,5","0","0","0"
"C1941","RALN","ND","CA","0,2","0,31","0","0","0","0","0","0"
"C1823","RALN","ND","CA","10","6,67","0","0","0","0","3","5,07"
"C1951","RALN","ND","CA","0","0","0","0","0","0","1","3"
"C1965","RALN","ND","CA","0","0","0","0","0","0","1","1"
"C2014","RALN","ND","CA","1","0","0","0","0","0","0","8"
"C2034","RALN","ND","CA","0","0","0","0","0","0","0,88","0"
"C2029","RALN","ND","CA","0","1,42","0","0","0","0","0","0"
"C2028","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C2042","RALN","ND","CA","0","0","0","0","0","0","6,85","0,28"
"C2056","RALN","ND","CA","0","0","0","0","0","0","0","0,4"
"C1870","RALN","ND","CA","5","15","0","0","0","0","0","0"
"C2069","RALN","ND","CA","0,8","0,7","0","0","0","0","0","0"
"C2070","RALN","ND","CA","6,5","6,5","0","0","0","0","0","1"
"C2071","RALN","ND","CA","6,96","12,96","0","0","0","0","0","0,2"
"C2013","RALN","ND","CA","2,17","4,33","0","0","0","0","0","0"
"C2088","PRTN","ND","CA","1","0","0","0","0","0","0","0"
"C2092","RALN","ND","CA","0","0","0","0","0","0","0","0,67"
"C2093","RALN","ND","CA","0","0","0","0","0","0","2","1"
"C2094","PRTN","ND","CA","0","0,37","0","0","0","0","0","0"
"C2104","PRTN","ND","CA","0","0,32","0","0","0","0","0","0"
"C2115","RALN","ND","CA","0","0","0","0","0","0","5,6","1,17"
"C2120","RALN","ND","CA","0","0","0","0","0","0","0,15","0"
"C2125","RALN","ND","CA","0,58","1,33","0","0","0","0","0","0"
"C2127","RALN","ND","CA","0","0","0","0","0,84","0","23","0"
"C2131","RALN","ND","CA","0","1","0","0","0","0","0","0"
"C2146","RALN","ND","CA","0","0","0","0","0","0","3,08","1"
"C2166","RALN","ND","CA","4","15","0","0","0","0","0","0"
"C2169","RALN","ND","CA","0,24","0","0","0","0","0","0","0"
"C2171","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2198","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C220","PRBZ","ND","CA","0","0,5","0","0","0","0","0","0"
"C2200","RALN","ND","CA","0","0","0","0","0","0","1,34","0,83"
"C2222","RALN","ND","CA","1","3","0","0","0","0","0","0"
"C2225","RALN","ND","CA","0","0","0","0","0","0","1,5","1"
"C2233","RALN","ND","CA","2","1","0","0","0","0","0","0"
"C2235","REFR","ND","CA","0","0","0","0","0","0","2,62","0,54"
"C2240","RALN","ND","CA","0","0","0","0","0","0","10","14"
"C2247","RALN","ND","CA","3,67","4","0","0","0","0","1,11","1,66"
"C2252","RALN","ND","CA","0","0","0","0","0","0","0","0,56"
"C2255","RALN","ND","CA","2,17","0","0","0","0","0","0","0"
"C2261","RALN","ND","CA","0","0","0","0","0","0","1","10"
"C2281","RALN","ND","CA","1","2","0","0","0","0","0","0"
"C2294","RALN","ND","CA","0","0,43","0","0","0","0","2","0"
"C2307","PRBZ","ND","CA","0,54","1","0","0","0","0","0","0"
"C2320","RALN","ND","CA","4,76","12,24","0","0","0","0","1,11","2,78"
"C2326","RALN","ND","CA","0","0","0","0","0","0","13","1"
"C2340","RALN","ND","CA","4,43","0","0","0","1,5","0","0,55","1,1"
"C2341","RALN","ND","CA","0","0","0","0","0","0","5,17","1"
"C2344","PRTN","ND","CA","0","3","0","0","0","0","0","0"
"C2348","RALN","ND","CA","0","0","0","0","0","0","1,31","0"
"C2351","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C2353","RALN","ND","CA","4,33","0","0","0","0","0","0","0"
"C2357","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C2362","RALN","ND","CA","0","0","0","0","0,44","0","0","0"
"C2366","RALN","ND","CA","2","19","0","0","0","0","0","0"
"C2367","RALN","ND","CA","0","0,72","0","0","0","0","0","0"
"C2379","RALN","ND","CA","0","0","0","0","0","0,11","0,92","0"
"C2387","RALN","ND","CA","0","0","0","0","0","0","2,46","0"
"C2385","RALN","ND","CA","9,25","4,33","0","0","0","0","0","0"
"C2392","PRTN","ND","CA","0","2,41","0","0","0","0","0","0"
"C2397","RALN","ND","CA","3","4","0","0","0","0","0","0"
"C2414","RALN","ND","CA","0","0","0","0","0","0","0,16","0"
"C2416","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2425","PRTN","ND","CA","0","0,55","0","0","0","0","0","0"
"C2435","RALN","ND","CA","0","0","0","0","0","0","0","0,59"
"C2437","RALN","ND","CA","0","0","0","0","0,25","0","0","0"
"C2440","RALN","ND","CA","0","0","0","0","0","0","3,75","1,99"
"C2448","RALN","ND","CA","0","0","0","0","0","0","1,18","0,32"
"C2463","RALN","ND","CA","0","0","0","0","0","0","1,98","1,98"
"C2467","RALN","ND","CA","0","0","0","0","0","0","1","1"
"C2477","RALN","ND","CA","0","0","0","0","0","0","1","2"
"C2483","RALN","ND","CA","0","0","0","0","0","0","1,11","0"
"C2491","RALN","ND","CA","2","0","0","0","0","0","0","0"
"C2507","RALN","ND","CA","1","1","0","0","0","0","0","0"
"C2510","RALN","ND","CA","0","0","0","0","0","0","0","0,42"
"C2521","RALN","ND","CA","0","0","0","0","0","0","1","5"
"C2522","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C2524","PRTN","ND","CA","0","0,48","0","0","0","0","0","0"
"C2525","RALN","ND","CA","5,72","12,64","0","0","0","0","0","0"
"C2530","RALN","ND","CA","0","0","0","0","0","0","1,08","0,58"
"C2546","RALN","ND","CA","0","0","0","0","0","0","5,45","0"
"C2549","RALN","ND","CA","1,44","0","0","0","0","0","0","0"
"C12478","PRTN","ND","CA","0","1,3","0","0","0","0","0","0"
"C2554","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C2563","RALN","ND","CA","0","0","0","0","0","0","5,83","0"
"C2573","REFR","ND","CA","0","0","0","0","0","0","0","1,93"
"C2574","RALN","ND","CA","0","0","0","0","0","0","1,72","0,51"
"C2583","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2584","RALN","ND","CA","0","0","0","0","0","0","0","2,31"
"C2585","RALN","ND","CA","0,27","0,27","0","0","0","0","0","0"
"C2587","RALN","ND","CA","4,28","1,36","0","0","0","0","0","0"
"C2588","RALN","ND","CA","0","0","0","0","0","0","0","12"
"C1631","PRBZ","ND","CA","0,23","4,37","0","0","0","0","0","0"
"C2617","PRBZ","ND","CA","0,54","0","0","0","0","0","0","0"
"C2618","RALN","ND","CA","2,16","2,16","0","0","0","0","0","0"
"C2638","PRBZ","ND","CA","0","0,38","0","0","0","0","0","0"
"C2640","RALN","ND","CA","0","0","0","0","0","0","0","0,08"
"C2645","RALN","ND","CA","2,88","0","0","0","0","0","0","0"
"C2662","RALN","ND","CA","0","0","0","0","0","0","0,78","0,02"
"C2667","RALN","ND","CA","0","0","0","0","0","0","1,52","0"
"C2680","RALN","ND","CA","0","0,06","0","0","0","0","0,33","0,1"
"C2704","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C2709","RALN","ND","CA","6","5","0","0","0","0","0","0"
"C2710","RALN","ND","CA","0,67","0","0","0","0","0","0,07","0"
"C2712","RALN","ND","CA","5,77","1,44","0","0","0","0","0","0"
"C2670","RALN","ND","CA","0","0","0","0","0","1","0","0"
"C2724","RALN","ND","CA","0","0","0","0","0","0","0,52","0"
"C2731","RALN","ND","CA","2","0","0","0","0","0","0","0"
"C2740","RALN","ND","CA","5,05","0,72","0","0","0","0","0","0"
"C2743","PRBZ","ND","CA","0","0,58","0","0","0","0","0,16","0"
"C2746","RALN","ND","CA","0","0","0","0","0","0","0,8","0"
"C2748","RALN","ND","CA","0","0","0","0","0","0","3","0"
"C2754","RALN","ND","CA","5","9","0","0","0","0","0","0"
"C2757","RALN","ND","CA","0","0","0","0","0","0","0","1,29"
"C2762","RALN","ND","CA","0","0","0","0","0","0","1,31","0,18"
"C2779","RALN","ND","CA","5","1,34","0","0","0","0","4","2"
"C2794","RALN","ND","CA","1,44","1,44","0","0","0","0","0","0"
"C12482","PRTN","ND","CA","0","1,22","0","0","0","0","0","0"
"C2823","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C2829","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C2855","PRTN","ND","CA","0","3,55","0","0","0","0","0","0"
"C2861","RALN","ND","CA","0","0","0","0","0","0","0,65","0,2"
"C2870","PRBZ","ND","CA","0","0,51","0","0","0","0","1,12","0,01"
"C2873","RALN","ND","CA","0","0","0","0","0","0","0,02","0,03"
"C8297","RALN","ND","CA","0","0","0","0","0","0","1","1"
"C2064","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C2890","RALN","ND","CA","0","0","0","0","0","0","2,22","8,58"
"C2902","RALN","ND","CA","0","0","0","0","0","0","1,97","0"
"C2909","RALN","ND","CA","0","0,88","0","0","0","0","0","0"
"C2911","RALN","ND","CA","3","13","0","0","0","0","0","0"
"C2922","RALN","ND","CA","0,1","0","0","0","0","0","0","0"
"C2924","PRTN","ND","CA","0","0,71","0","0","0","0","0","0"
"C2925","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C2927","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C2929","RALN","ND","CA","0","0","0","0","4","0","0","0"
"C2930","RALN","ND","CA","1,32","1,94","0","0","0","0","2,75","4,4"
"C2938","PRBZ","ND","CA","0","0,79","0","0","0","0","0","0"
"C2941","RALN","ND","CA","0","0","0","0","0","0","3,46","0,79"
"C2950","RALN","ND","CA","0","0","0","0","0","0","0","4"
"C2952","RALN","ND","CA","0","0","0","0","0","0","0,9","0"
"C2964","RALN","ND","CA","47,39","50,29","0","0","0","0","0","0"
"C2974","RALN","ND","CA","0","0","0","0","0","0","0,92","0,02"
"C2981","RALN","ND","CA","3,13","1,2","0","0","0","0","0","0"
"C2985","RALN","ND","CA","5,05","3,61","0","0","0","0","0","0"
"C3009","PRBZ","ND","CA","0","1,73","0","0","0","0","0","0"
"C3011","PRTN","ND","CA","0","0,85","0","0","0","0","0","0"
"C3018","RALN","ND","CA","0","0","0","0","0","0","0","1,44"
