"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"C1560","RALN","CC","046000","Z01","3","9","0,6","1"
"C1560","RALN","CC","042000","Z01","1","1","1","1"
"C1560","RALN","CC","056000","Z01","6","0","3","0"
"C1560","RALN","CB","0B7A00","Z01","6","1","1,5","1"
"C1560","RALN","CB","0B7000","Z01","3","0","1","0"
"C1560","RALN","CB","038490","Z01","0","1","0","1"
"C1563","REFR","CD","051000","Z01","1","0","1","0"
"C1563","REFR","CC","043000","Z01","0","1","0","1"
"C1563","REFR","CB","038000","Z01","1","0","1","0"
"C1563","REFR","CB","034000","Z01","1","0","1","0"
"C1563","REFR","CB","032000","Z01","1","0","1","0"
"C1565","RALN","SP","0D0I95","Z01","8","0","4","0"
"C1565","RALN","CD","0D6A00","Z01","14","0","4,666666667","0"
"C1565","RALN","CD","0D6000","Z01","0","1","0","1"
"C1565","RALN","CD","051489","Z01","1","15","1","7,5"
"C1565","RALN","CD","050000","Z01","12","0","12","0"
"C1565","RALN","CC","046000","Z01","7","29","1,4","9,666666667"
"C1565","RALN","CC","045000","Z01","6","1","2","0,5"
"C1565","RALN","CC","043000","Z01","2","0","0","0"
"C1565","RALN","CC","042000","Z01","0","1","0","0,5"
"C1565","RALN","CC","056000","Z01","1","0","0,5","0"
"C1565","RALN","CB","036494","Z01","5","0","5","0"
"C1565","RALN","CB","036495","Z01","6","20","3","6,666666667"
"C1565","RALN","CB","034000","Z01","0","23","0","0"
"C1566","RALN","SP","0D0I95","Z01","0","1","0","0"
"C1566","RALN","CD","057000","Z01","0","3","0","0"
"C1576","RALN","FP","0D0102","Z01","2","0","2","0"
"C1576","RALN","CD","0D6A00","Z01","2","1","2","1"
"C1576","RALN","CD","052486","Z01","4","3","2","1,5"
"C1576","RALN","CD","051489","Z01","1","0","1","0"
"C1576","RALN","CD","050000","Z01","3","1","1","0,333333333"
"C1576","RALN","CD","049000","Z01","2","0","0,666666667","0"
"C1576","RALN","CD","057000","Z01","4","1","2","0,5"
"C1576","RALN","CC","046000","Z01","2","3","2","0,333333333"
"C1576","RALN","CC","045000","Z01","0","1","0","0,125"
"C1576","RALN","CC","043000","Z01","0","2","0","1"
"C1576","RALN","CC","056000","Z01","1","1","0,5","0,125"
"C1576","RALN","CB","0B7A00","Z01","0","2","0","0,5"
"C1576","RALN","CA","0A5000","Z01","0","3","0","0,6"
"C1576","RALN","CA","028000","Z01","0","2","0","2"
"C1578","RALN","CD","0D6A00","Z01","0","4","0","1"
"C1578","RALN","CD","052486","Z01","0","1","0","1"
"C1578","RALN","CD","052487","Z01","0","2","0","1"
"C1578","RALN","CD","051488","Z01","0","2","0","1"
"C1578","RALN","CD","049000","Z01","0","1","0","1"
"C1578","RALN","CD","057000","Z01","0","25","0","12,5"
"C1578","RALN","CC","046000","Z01","3","2","1","2"
"C1578","RALN","CC","045000","Z01","2","6","0,666666667","0,545454545"
"C1578","RALN","CC","042000","Z01","1","8","0,25","0,666666667"
"C1578","RALN","CB","0B7A00","Z01","0","1","0","0,333333333"
"C1578","RALN","CB","037492","Z01","0","1","0","0"
"C1578","RALN","CB","036494","Z01","0","1","0","0,333333333"
"C1578","RALN","CB","036495","Z01","0","3","0","0"
"C1579","RALN","CD","052486","Z01","1","0","1","0"
"C1579","RALN","CD","050000","Z01","0","4","0","4"
"C1579","RALN","CC","046000","Z01","1","0","1","0"
"C1579","RALN","CC","045000","Z01","0","2","0","1"
"C1580","RALN","CD","0D6A00","Z01","0","3","0","3"
"C1580","RALN","CD","050000","Z01","0","3","0","3"
"C1580","RALN","CB","034000","Z01","1","0","1","0"
"C1580","RALN","CB","054000","Z01","0","1","0","1"
"C1587","RALN","CC","056000","Z01","0","3","0","3"
"C1586","RALN","CD","051489","Z01","1","0","1","0"
"C1588","RALN","CD","052487","Z01","0","1","0","1"
"C1588","RALN","CD","050000","Z01","0","1","0","0,5"
"C1588","RALN","CC","056000","Z01","0","2","0","2"
"C1591","RALN","CD","0D6A00","Z01","6","0","3","0"
"C1591","RALN","CD","052486","Z01","1","3","1","3"
"C1591","RALN","CD","051488","Z01","7","12","3,5","6"
"C1591","RALN","CD","051489","Z01","0","7","0","3,5"
"C1591","RALN","CD","058000","Z01","11","6","5,5","6"
"C1591","RALN","CD","050000","Z01","3","25","1,5","5"
"C1591","RALN","CD","049000","Z01","6","11","2","1,833333333"
"C1591","RALN","CD","057000","Z01","0","12","0","3"
"C1591","RALN","CC","046000","Z01","0","1","0","0,2"
"C1591","RALN","CC","045000","Z01","0","3","0","0,75"
"C1591","RALN","CC","043000","Z01","3","2","0,428571429","0,285714286"
"C1591","RALN","CC","042000","Z01","5","4","0,833333333","0,8"
"C1591","RALN","CC","056000","Z01","11","0","2,2","0"
"C1591","RALN","CB","0B7A00","Z01","0","2","0","0,5"
"C1591","RALN","CB","038490","Z01","0","1","0","0,333333333"
"C1591","RALN","CB","038491","Z01","0","1","0","1"
"C1591","RALN","CB","037492","Z01","2","3","0,666666667","0,75"
"C1591","RALN","CB","036494","Z01","1","0","0,333333333","0"
"C1591","RALN","CB","036495","Z01","1","3","0,5","3"
"C1591","RALN","CB","034000","Z01","0","1","0","0,5"
"C1591","RALN","CB","032000","Z01","2","1","0,666666667","0,5"
"C1591","RALN","CB","054000","Z01","3","1","1","1"
"C1591","RALN","DI","0D0164","Z01","0","1","0","1"
"C1592","RALN","FP","0D0103","Z01","1","0","1","0"
"C1592","RALN","CD","052486","Z01","0","1","0","1"
"C1592","RALN","CD","051489","Z01","6","13","3","3,25"
"C1592","RALN","CD","049000","Z01","3","7","1,5","2,333333333"
"C1592","RALN","CD","057000","Z01","0","12","0","4"
"C1592","RALN","CC","046000","Z01","1","0","1","0"
"C1592","RALN","CC","045000","Z01","0","3","0","3"
"C1592","RALN","CC","042000","Z01","3","7","3","1,75"
"C1592","RALN","CB","0B7A00","Z01","1","0","1","0"
"C1592","RALN","CB","037493","Z01","2","0","1","0"
"C1592","RALN","CB","036494","Z01","1","0","1","0"
"C1592","RALN","CB","036495","Z01","1","5","1","1,666666667"
"C1592","RALN","CB","055000","Z01","0","4","0","2"
"C1592","RALN","CB","034000","Z01","4","0","1,333333333","0"
"C1592","RALN","CB","032000","Z01","4","3","2","3"
"C1592","RALN","CA","025000","Z01","0","1","0","1"
"C1593","RALN","CD","051489","Z01","0","3","0","3"
"C1593","RALN","CD","049000","Z01","0","3","0","3"
"C1593","RALN","CD","057000","Z01","0","1","0","0"
"C1593","RALN","CC","046000","Z01","0","3","0","0"
"C1593","RALN","CC","045000","Z01","0","3","0","3"
"C1593","RALN","CC","043000","Z01","0","3","0","0"
"C1593","RALN","CB","036495","Z01","0","1","0","1"
"C1595","RALN","CD","0D6A00","Z01","0","5","0","5"
"C1595","RALN","CD","052487","Z01","1","4","1","4"
"C1595","RALN","CD","051488","Z01","0","7","0","7"
"C1595","RALN","CD","051489","Z01","2","0","2","0"
"C1595","RALN","CD","050000","Z01","0","5","0","2,5"
"C1595","RALN","CD","049000","Z01","0","5","0","2,5"
"C1595","RALN","CD","057000","Z01","3","7","1,5","1,75"
"C1595","RALN","CC","045000","Z01","3","2","3","1"
"C1595","RALN","CC","043000","Z01","1","6","0,5","1,2"
"C1595","RALN","CC","056000","Z01","12","8","4","1"
"C1595","RALN","CB","036494","Z01","3","1","3","1"
"C1595","RALN","CB","055000","Z01","0","4","0","2"
"C1598","RALN","CC","056000","Z01","1","0","1","0"
"C1598","RALN","CA","025000","Z01","0","1","0","1"
"C1599","RALN","CD","052487","Z01","1","3","0,333333333","1,5"
"C1599","RALN","CD","050000","Z01","1","1","0,2","1"
"C1599","RALN","CD","057000","Z01","0","4","0","2"
"C1599","RALN","CC","046000","Z01","1","0","0,142857143","0"
"C1599","RALN","CC","043000","Z01","6","0","0,6","0"
"C1599","RALN","CB","037493","Z01","0","1","0","1"
"C1602","RALN","CD","050000","Z01","5","0","5","0"
"C1602","RALN","CC","045000","Z01","4","0","4","0"
"C1602","RALN","CC","043000","Z01","0","3","0","3"
"C1602","RALN","CB","037492","Z01","3","0","3","0"
"C1607","RALN","CC","043000","Z01","0","1","0","1"
"C1609","RALN","CD","058000","Z01","0","5","0","0"
"C1609","RALN","CD","057000","Z01","0","6","0","0"
"C1609","RALN","CC","042000","Z01","0","3","0","3"
"C1609","RALN","CC","056000","Z01","0","6","0","0"
"C1612","RALN","CD","0D6000","Z01","2","5","2","2,5"
"C1612","RALN","CD","050000","Z01","3","0","1,5","0"
"C1612","RALN","CD","049000","Z01","2","0","2","0"
"C1612","RALN","CD","057000","Z01","2","4","2","2"
"C1612","RALN","CC","046000","Z01","4","2","1,333333333","1"
"C1612","RALN","CC","045000","Z01","0","4","0","1,333333333"
"C1612","RALN","CC","043000","Z01","0","4","0","2"
"C1612","RALN","CC","042000","Z01","0","1","0","1"
"C1612","RALN","CC","056000","Z01","2","7","2","1,75"
"C1612","RALN","CB","037492","Z01","2","1","2","1"
"C1612","RALN","CB","037493","Z01","0","1","0","1"
"C1612","RALN","CB","036494","Z01","2","0","2","0"
"C1612","RALN","CB","055000","Z01","0","1","0","1"
"C1612","RALN","CB","034000","Z01","2","1","0","1"
"C1612","RALN","CB","032000","Z01","2","2","1","1"
"C1612","RALN","CB","054000","Z01","0","1","0","0"
"C1614","RALN","CD","057000","Z01","4","0","4","0"
"C1615","RALN","CD","0D6A00","Z01","17","2","4,25","2"
