ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;PERSONALE_TEMPO_PIENO_UOMINI;PERSONALE_TEMPO_PIEDO_DONNE;PART_TIME_INF50%_UOMINI;PART_TIME_INF50%_DONNE;PART_TIME_SUP50%_UOMINI;PART_TIME_SUP50%_DONNE
U12369;SSNA;DS;SD0E42;1;0;0;0;0;0
U12369;SSNA;DS;SD0E41;0;1;0;0;0;0
U12369;SSNA;DS;SD0E12;0;1;0;0;0;0
U12369;SSNA;DG;0D0482;1;0;0;0;0;0
U12369;SSNA;SF;S14E51;0;2;0;0;0;0
U12369;SSNA;DS;SD0E39;1;0;0;0;0;0
U12369;SSNA;DS;SD0A12;1;12;0;0;0;0
U12369;SSNA;DG;0D0163;0;1;0;0;0;0
U12369;SSNA;LT;T00062;4;0;0;0;0;0
U12369;SSNA;DG;0D0097;1;0;0;0;0;0
U12369;SSNA;LT;T13059;48;13;0;0;0;0
U12369;SSNA;DG;0D0484;1;0;0;0;0;0
U12369;SSNA;SV;S16022;2;5;0;1;0;9
U12369;SSNA;LT;T13660;64;256;0;11;0;11
U12369;SSNA;LT;T12058;0;45;0;6;0;3
U12369;SSNA;DA;AD0032;4;1;0;0;0;0
U12369;SSNA;SV;S18921;0;1;0;0;0;0
U12369;SSNA;LT;T12057;60;143;0;11;2;17
U12369;SSNA;LT;T11008;5;10;0;1;1;2
C818;RALN;CC;56000;1;6;0;0;1;0
C818;RALN;CB;37493;3;3;0;0;0;0
C818;RALN;CD;58000;0;0;0;0;1;0
C818;RALN;CD;52486;1;0;0;0;1;0
C818;RALN;CC;45000;2;1;0;0;0;0
C818;RALN;CB;0B7A00;2;0;0;0;0;0
C818;RALN;CB;32000;0;1;0;0;0;0
C818;RALN;CB;36495;2;0;0;0;0;0
C818;RALN;CD;49000;0;1;0;0;0;0
C818;RALN;CB;54000;2;0;0;0;0;0
C818;RALN;CD;50000;1;0;0;0;0;0
C818;RALN;CC;42000;1;0;0;0;0;0
C2642;RALN;CD;52487;38;15;0;0;0;0
C2642;RALN;CD;50000;6;2;0;0;0;0
C2642;RALN;CA;0A5000;59;5;0;0;0;0
C2642;RALN;CB;38490;6;1;0;0;0;0
C2642;RALN;CB;38491;26;7;0;0;0;0
C2642;RALN;CB;0B7000;23;3;0;0;0;0
C2642;RALN;CB;55000;0;1;0;0;0;0
C2642;RALN;CC;42000;7;2;0;0;0;0
C2642;RALN;FP;0D0102;1;0;0;0;0;0
C2642;RALN;CC;56000;6;2;1;1;0;0
C2642;RALN;CD;58000;0;1;0;0;0;0
C2642;RALN;CD;0D6A00;10;15;0;0;0;0
C2642;RALN;CD;52486;2;3;0;0;0;0
C2642;RALN;RP;96;7;4;2;0;0;0
C2642;RALN;CB;36495;6;2;0;0;0;0
C2642;RALN;CC;43000;8;15;0;0;0;0
C2642;RALN;CD;51488;2;1;0;0;0;0
C2642;RALN;CB;37493;10;4;0;0;0;0
C2642;RALN;CA;27000;0;0;0;0;1;0
C2642;RALN;CD;49000;1;0;0;0;0;0
C2642;RALN;DI;0D0165;5;1;0;0;0;0
C2642;RALN;DI;0D0164;4;3;0;0;0;0
C2642;RALN;CA;28000;1;0;0;0;0;0
C2642;RALN;CD;0D6000;19;17;0;0;0;0
C2642;RALN;CD;51489;21;8;0;0;0;0
C2642;RALN;CB;34000;2;3;0;0;0;0
C2642;RALN;CB;0B7A00;50;15;0;0;0;0
C2642;RALN;CC;46000;56;24;0;0;0;0
C2642;RALN;CC;45000;14;17;0;0;0;0
C2642;RALN;CD;57000;0;1;0;0;0;0
C758;RALN;CB;32000;5;0;0;0;0;0
C758;RALN;CC;45000;2;1;0;0;0;0
C758;RALN;CC;43000;0;1;0;0;0;0
C758;RALN;CD;51489;1;1;0;0;0;0
C758;RALN;FP;0D0103;0;1;0;0;0;0
C758;RALN;CC;46000;10;8;0;0;0;0
C758;RALN;CB;38491;1;0;0;0;0;0
C758;RALN;CD;52487;1;1;0;0;0;0
C758;RALN;CD;50000;1;0;0;0;0;0
C758;RALN;CB;0B7A00;1;0;0;0;0;0
C758;RALN;CD;49000;1;0;0;0;0;0
C758;RALN;CC;42000;1;1;0;0;0;0
C758;RALN;CB;36495;2;0;0;0;0;0
C758;RALN;CD;0D6000;3;0;0;0;0;0
C758;RALN;CD;0D6A00;4;1;0;0;0;0
C758;RALN;CB;37493;2;4;0;0;0;0
C758;RALN;CC;56000;1;0;0;0;0;0
C758;RALN;CD;57000;1;1;0;0;0;0
C4436;RALN;CD;0D6A00;1;0;0;0;0;0
C4436;RALN;CD;57000;0;0;0;1;0;0
C4436;RALN;CB;0B7A00;2;0;0;0;0;0
C4436;RALN;CC;46000;1;0;0;0;0;0
IR8545;ERIC;TC;0D0398;66;28;0;0;0;1
IR8545;ERIC;TC;0D0094;172;186;1;0;1;8
IR8545;ERIC;8L;18396;6;13;0;0;1;0
IR8545;ERIC;TC;0D0090;18;7;0;1;0;0
IR8545;ERIC;RI;0D0093;1408;1336;7;5;6;26
IR8545;ERIC;RI;0D0397;469;310;2;1;1;4
IR8545;ERIC;DB;0D0DDD;7;0;0;0;0;0
IR8545;ERIC;DB;0D0IST;69;10;0;0;0;0
IR8545;ERIC;D2;0D0079;2;0;0;0;0;0
IR8545;ERIC;RI;0D0089;167;67;1;0;2;0
IR8545;ERIC;8L;18092;88;52;0;0;1;1
IR8545;ERIC;5L;13091;7;28;0;0;0;2
IR8545;ERIC;6L;14088;349;198;0;0;4;13
IR8545;ERIC;4L;12091;23;49;0;0;0;1
IR8545;ERIC;4L;12088;366;155;0;1;5;9
IR8545;ERIC;7L;16396;13;23;0;0;0;1
IR8545;ERIC;7L;16092;85;29;1;0;2;1
IR8545;ERIC;5L;13088;255;160;2;0;3;5
IR8545;ERIC;6L;14087;27;125;0;1;0;3
IR8545;ERIC;D2;0D0080;3;0;0;0;0;0
IR8545;ERIC;7L;16087;72;158;0;1;2;9
IR8545;ERIC;5L;13087;30;138;0;0;0;16
IR8545;ERIC;6L;14092;128;64;0;0;0;1
IR8545;ERIC;D1;0D0078;0;1;0;0;0;0
M8655;PPSS;VD;18182;136;59;0;0;0;0
M8655;MNST;3A;044F07;0;2;0;0;0;0
M8655;VVFF;CR;V30VF4;6751;9;0;0;0;0
M8655;VVFF;CR;Q32CS1;1341;0;0;0;0;0
M8655;VVFF;CR;V30VF5;817;1;0;0;0;0
M8655;PPSS;AS;13259;10997;2987;0;0;0;0
M8655;VVFF;CR;Q32CS2;4982;1;0;0;0;0
M8655;MNST;2A;035F05;197;393;3;7;4;46
M8655;MNST;D2;0D0080;1;1;0;0;0;0
M8655;PPSS;AS;13181;4355;263;0;0;0;0
M8655;PPSS;AS;13954;23395;5223;0;0;0;0
M8655;PPSS;AS;13257;6535;788;0;0;0;0
M8655;PPSS;AS;13179;4751;398;0;0;0;0
M8655;PPSS;IP;016IC0;106;10;0;0;0;0
M8655;MNST;D1;0D0077;3;0;0;0;0;0
