ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C3263;RALN;CC;045000;CC;046000;O;2
C3263;RALN;CC;056000;CC;042000;O;1
C3263;RALN;CD;057000;CD;049000;O;2
C3263;RALN;CB;037493;CB;038491;O;1
C3263;RALN;CD;052487;CD;0D6000;O;1
C3263;RALN;DI;0D0165;CD;0D6A00;V;1
C3263;RALN;CA;025000;CA;027000;O;1
C3113;RALN;CA;025000;CA;027000;O;1
C3113;RALN;CA;053000;CA;025000;O;3
C3113;RALN;CD;051489;CD;052487;O;1
C3113;RALN;CC;056000;CC;042000;O;2
C3113;RALN;CD;057000;CD;049000;O;2
C3113;RALN;CD;052487;CD;0D6000;O;2
C3113;RALN;CD;058000;CD;051488;O;1
C1776;RALN;CC;045000;CC;046000;O;1
C1776;RALN;CB;037493;CB;038491;O;2
C1776;RALN;CC;056000;CC;042000;O;1
C1776;RALN;CD;050000;CD;051489;O;1
C8068;RALN;CC;056000;CC;042000;O;1
C6004;RALN;CC;042000;CC;043000;O;1
C6004;RALN;FP;0D0103;FP;0D0102;O;1
C6004;RALN;CB;055000;CB;036494;O;2
C6004;RALN;CB;054000;CB;032000;O;3
C6004;RALN;CD;049000;CD;050000;O;2
C6004;RALN;CD;051489;CD;052487;O;1
C6004;RALN;CC;045000;CC;046000;O;9
C6004;RALN;CD;057000;CD;049000;O;1
C684;RALN;CD;052486;CD;0D6A00;O;1
C6478;RALN;CC;043000;CC;045000;O;1
C6478;RALN;DI;0D0165;CD;051488;V;1
C5598;RALN;CD;051488;CD;052486;O;1
C5598;RALN;CC;056000;CC;042000;O;1
C5598;RALN;CC;043000;CC;045000;O;1
C5598;RALN;CB;034000;CB;036495;O;3
C6504;RALN;CC;045000;CD;057000;V;1
C5687;RALN;CD;050000;CD;051489;O;1
C5687;RALN;CB;054000;CB;032000;O;1
C5687;RALN;CA;053000;CA;025000;O;1
C7842;RALN;CD;049000;CD;050000;O;1
C7842;RALN;CB;037493;CB;038491;O;5
C7842;RALN;CC;043000;CC;045000;O;4
C7842;RALN;CD;050000;CD;051489;O;1
C7842;RALN;CC;042000;CC;043000;O;1
IP10709;RALN;CC;045000;CC;046000;O;2
IP10709;RALN;CC;043000;CC;045000;O;2
IP10709;RALN;CB;034000;CB;036495;O;1
IP10709;RALN;CB;032000;CB;034000;O;1
IP10709;RALN;CB;055000;CB;036494;O;1
