ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C1097;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C1486;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C695;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C986;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4805;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2772;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2262;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C2503;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6618;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CS12213;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C3877;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4685;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6999;RALN;CD;049000;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5897;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4298;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1049;RALN;CD;049000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
C4823;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7204;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
UC10794;RALN;CD;049000;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
C3042;RALN;CD;049000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
C4825;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC10204;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1560;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4348;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
C379;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
C595;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7347;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C3027;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
